Product Code,Product Label,"UAE export to vietnam Value in 2022, USD thousands","annual growth export from uae to vietnam in value between 2018-2022, %, p.a","vietnam Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"import Value vietnam from world in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from world to vietnam in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity exported from UAE to world  in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
460121,"Mats, matting and screens of bamboo plaiting materials, flat-woven or bound together in parallel", , , ,20, , , ,,"19,851",-11,25,"7,580",No quantity,"2,619",34,-14,0,13,No quantity,"4,462",
460122,"Mats, matting and screens, of rattan plaiting materials, flat-woven or bound together in parallel", , , ,20, , , ,,532, ,6,105,No quantity,"5,067",7,78,0,4,No quantity,"13,250",
460129,"Mats, matting and screens, of vegetable plaiting materials, flat-woven or bound together in . . .", , , ,20, , , ,,398,95,0,96,No quantity,"4,146",12,-39,0,109,No quantity,"3,606",
460192,"Plaits and similar products, of bamboo plaiting materials, whether or not assembled into strips; . . .", , , ,20, , , ,,281,175,1,49,No quantity,"5,735",4,5,0,159,No quantity,"2,509",
460193,"Plaits and similar products, of rattan plaiting materials, whether or not assembled into strips; . . .", , , ,20, , , ,,93,5,1,4,No quantity,"23,250",95, ,1,2,No quantity,"17,500",
460194,"Plaits and similar products of vegetable plaiting materials, whether or not assembled into . . .", , , ,20, , , ,,4,-68,0,0,Tons, ,26,53,0,5,Tons,"7,600",
460199,"Plaiting materials, plaits and similar products of non-vegetable plaiting materials, flat-woven . . .", , , ,20, , , ,,"13,606",-7,11,"4,035",No quantity,"3,372",75,24,0,0,No quantity, ,3
460211,"Basketwork, wickerwork and other articles, made directly to shape from bamboo plaiting materials . . .", , , ,20, , , ,,"5,048",192,2,636,No quantity,"7,937",22,12,0,364,No quantity,"4,684",
460212,"Basketwork, wickerwork and other articles, made directly to shape from rattan plaiting materials . . .", , , ,20, , , ,,149,13,0,10,No quantity,"14,900",53,70,0,0,No quantity, ,
460219,"Basketwork, wickerwork and other articles, made directly to shape from vegetable plaiting materials . . .", , , ,20, , , ,,498,-7,0,32,No quantity,"15,563",66,12,0,0,No quantity, ,
460290,"Basketwork, wickerwork and other articles, made directly to shape from non-vegetable plaiting . . .", , , ,20, , , ,,"1,664",30,0,138,No quantity,"12,058",151,-10,0,405,No quantity,"8,146",8
470100,"Mechanical wood pulp, not chemically treated", , , ,1, , , ,,"8,239",116,4,"12,054",Tons,684,21, ,0,24,Tons,792,
470200,"Chemical wood pulp, dissolving grades", , , ,1, , , ,,91,-51,0,49,Tons,"1,857",86,187,0,50,Tons,"1,160",
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excl. dissolving grades)", , , ,0, , , ,,"40,920",18,2,"53,561",Tons,764,142,-34,0,0,Tons, ,
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excl. dissolving . . .", , , ,0, , , ,,"105,076",3,1,0,Tons, ,997, ,0,0,Tons, ,148
470329,"Semi-bleached or bleached non-coniferous chemical wood pulp, soda or sulphate (excl. dissolving . . .", , , ,0, , , ,,"111,691",4,0,"186,771", ,598,215,-50,0,"580,584", ,556,317
470419,"Unbleached non-coniferous chemical wood pulp, sulphite (excl. dissolving grades)", , , ,0, , , ,, , , , ,No quantity, ,4, ,2, ,No quantity, ,
470421,"Semi-bleached or bleached coniferous chemical wood pulp, sulphite (excl. dissolving grades)", , , , , , , ,,24,49,0,26, ,923, , , , , , ,
470429,"Semi-bleached or bleached non-coniferous chemical wood pulp, sulphite (excl. dissolving grades)", , , ,0, , , ,,"1,892",2,1,"1,568",Tons,"1,207", , , ,214,Tons,"1,607",
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes, , , ,0, , , ,,"10,274",2,0,"15,381", ,668,17, ,0,989, ,658,
470620,"Pulps of fibres derived from recovered ""waste and scrap"" paper or paperboard", , , ,0, , , ,,792,-23,0,"1,162",Tons,682,1,-13,0,"10,058",Tons,678,
470630,Pulps of fibrous cellulosic bamboo material, , , ,0, , , ,,"1,896",124,9,"1,982", ,957, , , ,2, ,"2,500",
470691,"Mechanical pulp of fibrous cellulosic material (excl. that of bamboo, wood, cotton linters . . .", , , ,0, , , ,,"1,777",230,8,"2,161", ,822,4, ,0,114, ,"2,711",
470692,"Chemical pulp of fibrous cellulosic material (excl. that of bamboo, wood, cotton linters and . . .", , , ,0, , , ,,"5,615",44,2,"3,175",Tons,"1,769",105,-50,0,52,Tons,"2,154",
470693,"Semi-chemical pulp of fibrous cellulosic material (excl. that of bamboo, wood, cotton linters . . .", , , , , , , ,,373,40,0,0, , , , , , , , ,
470710,"Recovered ""waste and scrap"" paper or paperboard of unbleached kraft paper, corrugated paper . . .", , , ,0, , , ,,"625,111",35,12,"3,368,416", ,186,"37,907",13,1,"6,009", ,176,
470720,"Recovered ""waste and scrap"" paper or paperboard made mainly of bleached chemical pulp, not . . .", , , ,0, , , ,,"24,981",12,2,"83,337", ,300,"24,182",86,2,"23,446", ,295,
470730,"Recovered ""waste and scrap"" paper or paperboard made mainly of mechanical pulp, e.g. newspapers, . . .", , , ,0, , , ,,"21,696",15,2,"102,564",Tons,212,"6,483",13,1,"3,174",Tons,141,
470790,"Recovered ""waste and scrap"" paper or paperboard, incl. unsorted waste and scrap (excl. waste . . .", , , ,0, , , ,,"69,095",16,2,"403,740",Tons,171,"77,493",-5,3,"13,784",Tons,188,
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 28 cm or in square or . . .", , , ,20, , , ,,"10,354",-23,0,"13,500",Tons,767,"20,207",-8,0,"4,194",Tons,843,
480210,Handmade paper and paperboard of any size or shape, , , ,20, , , ,,"21,169",-4,16,"2,549",No quantity,"8,305",172,-17,0,897,No quantity,"1,718",7
480220,"Paper and paperboard of a kind used as a base for photosensitive, heat-sensitive or electrosensitive . . .", , , ,5, , , ,,622,-11,0,0,Tons, ,470,-32,1,0,Tons, ,28
480240,"Wallpaper base, uncoated", , , ,5, , , ,,"5,002",46,4,"4,232",Tons,"1,182",14,-43,0,155,Tons,"4,181",2
480254,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,11, , , ,,"8,296",3,3,0,Tons, ,5,-38,0,0,Tons, ,
480255,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,14, , , ,,"88,664",14,2,0,Tons, ,"72,783",150,1,0,Tons, ,
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,16, , , ,,"116,597",-5,2,"131,261",Tons,888,"108,221",221,2,0,Tons, ,
480257,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,17, , , ,,"18,712",1,1,0,No quantity, ,"12,577",130,0,0,No quantity, ,
480258,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,20, , , ,,"26,649",17,2,"20,249",Tons,"1,316",426,-6,0,"7,665",Tons,"1,491",
480261,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,18, , , ,,"5,333",7,0,"4,216",Tons,"1,265","1,412",132,0,"15,624",Tons,860,
480262,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,20, , , ,,"3,858",74,1,"2,536",Tons,"1,521","1,647",217,1,"1,984",Tons,"1,687",
480269,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,20, , , ,,"6,096",10,2,"4,321",Tons,"1,411","2,350",43,1,"1,168",Tons,"1,260",
480300,"Toilet or facial tissue stock, towel or napkin stock and similar paper for household or sanitary . . .", , , ,20, , , ,,"40,720",5,1,"31,765",Tons,"1,282","45,005",37,1,"24,720",Tons,"1,384",569
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm", , , ,15, , , ,,"15,992",17,0,"25,033",Tons,639,129,-45,0,"41,176",Tons,736,22
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excl. unbleached and goods of heading 4802 . . .", , , ,18, , , ,,"2,780",-27,0,"2,921",Tons,952,"13,642",0,1,"11,787",Tons,873,21
480421,"Unbleached sack kraft paper, uncoated, in rolls of a width > 36 cm (excl. goods of heading . . .", , , ,10, , , ,,"26,384",13,1,"30,756",Tons,858,3,-65,0,"21,616",Tons,"1,177",16
480429,"Sack kraft paper, uncoated, in rolls of a width > 36 cm (excl. unbleached, and goods of heading . . .", , , ,12, , , ,,"2,214",14,0,"1,942",Tons,"1,140",124,12,0,"5,833",Tons,"1,396",6
480431,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or . . .", , , ,9, , , ,,"24,820",35,1,"26,428",Tons,939,425,8,0,"19,118",Tons,824,22
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,16, , , ,,"35,308",21,2,0,Tons, ,946,17,0,"24,078",Tons,"1,031",49
480441,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or . . .", , , ,13, , , ,,"5,869",36,1,"7,387",Tons,795,11,-69,0,"1,683",Tons,645,
480442,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,20, , , ,,"1,323",173,1,"1,089", ,"1,215", , , ,"2,922", ,"1,049",
480449,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,20, , , ,,965,3,1,0,Tons, ,10,-52,0,"2,605",Tons,508,
480451,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or . . .", , , ,10, , , ,,"13,897",64,4,"13,916",Tons,999,154, ,0,"30,784",Tons,557,48
480452,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,17, , , ,,"1,006",51,0,449,Tons,"2,241", , , ,46,Tons,"35,478",
480459,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,20, , , ,,877,-23,0,815,Tons,"1,076",289,70,0,"7,033",Tons,572,6
480511,"Semi-chemical fluting paper, uncoated, in rolls of a width > 36 cm", , , ,10, , , ,,"5,237",-11,0,"6,331",Tons,827,"5,842",-13,0,"2,223",Tons,656,43
480512,"Straw fluting paper, in rolls of a width > 36 cm, weighing >= 130 g/m²", , , ,10, , , ,,51,-43,0,25, ,"2,040",287,47,2,"2,197", ,541,1
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with . . .", , , ,10, , , ,,"33,974",-12,1,"59,467",Tons,571,"12,378",-20,0,"77,133",Tons,491,448
480524,"Testliner ""recycled liner board"", uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,,"18,415",-14,0,"25,857",Tons,712,"8,449",-21,0,"55,399",Tons,603,468
480525,"Testliner ""recycled liner board"", uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,,"106,242",-3,4,"179,835",Tons,591,914,-18,0,"3,744",Tons,615,272
480530,"Sulphite wrapping paper, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,,415,-26,0,195,Tons,"2,128",127,-20,0,251,Tons,992,9
480540,"Filter paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,5, , , ,,"2,482",-6,1,449,No quantity,"5,528",63,-20,0,984,No quantity,"7,689",
480550,"Felt paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with . . .", , , ,10, , , ,,"9,454",3,18,"15,191",Tons,622,3,-22,0,312,Tons,609,5
480591,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,10, , , ,,"35,645",14,2,"18,015",Tons,"1,979","1,927",139,0,"24,590",Tons,"1,111",6
480592,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,10, , , ,,"25,374",6,2,"28,440",Tons,892,749,357,0,"30,354",Tons,835,16
480593,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,10, , , ,,"70,228",9,3,"55,947",Tons,"1,255","1,829",38,0,"18,731",Tons,"1,357",74
480610,"Vegetable parchment, in rolls of a width > 36 cm or in square or rectangular sheets with one . . .", , , ,3, , , ,,"1,435",13,1,544,Tons,"2,638",16,-7,0,106,Tons,"5,075",
480620,"Greaseproof papers, in rolls of a width > 36 cm or in square or rectangular sheets with one . . .", , , ,10, , , ,,"1,533",1,0,835,Tons,"1,836",165,1,0,"2,387",Tons,"2,104",7
480630,"Tracing papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side . . .", , , ,3, , , ,,689,23,2,233,Tons,"2,957",14,-13,0,137,Tons,"4,102",
480640,"Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or . . .", , , ,5, , , ,,"4,444",10,0,"1,899",Tons,"2,340",5,-14,0,"2,230",Tons,"1,895",
480700,"Composite paper and paperboard ""made by sticking flat layers of paper or paperboard together . . .", , , ,20, , , ,,"6,353",-9,1,"4,667",Tons,"1,361",364,47,0,"6,897",Tons,976,72
480810,"Corrugated paper and paperboard ""with or without glued flat surface sheets"", whether or not . . .", , , ,10, , , ,,"7,700",30,0,"7,711",Tons,999,"1,437",-18,0,787,Tons,"1,282",37
480840,"Kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a width . . .", , , ,10, , , ,,"2,725",73,1,"1,973",Tons,"1,381",62,119,0,165,Tons,"4,721",3
480890,"Paper and paperboard, creped, crinkled, embossed or perforated, in rolls of a width > 36 cm . . .", , , ,10, , , ,,"6,683",-12,2,"3,066",Tons,"2,180",134,-1,0,"2,009",Tons,"2,378",16
480920,"Self-copy paper, whether or not printed, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,,"7,135",-12,2,"4,552",Tons,"1,567",220,-6,0,"5,889",Tons,"1,635",15
480990,"Transfer papers, incl. coated or impregnated paper for duplicator stencils or offset plates, . . .", , , ,20, , , ,,"29,537",20,8,"6,252",Tons,"4,724",388,-5,0,"3,972",Tons,"2,866",5
481013,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres . . .", , , ,5, , , ,,"104,304",8,2,0,Tons, ,"1,662",36,0,"45,865",Tons,"1,093",-
481014,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres . . .", , , ,5, , , ,,"1,582",6,1,"1,138",Tons,"1,390",159,24,0,9,Tons,"14,667",91
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres . . .", , , ,5, , , ,,"57,174",6,1,"44,114",Tons,"1,296","1,374",16,0,"91,678",Tons,882,141
481022,"Lightweight coated paper used for writing, printing or other graphic purposes, total weight . . .", , , ,5, , , ,,"9,605",23,0,"6,610",Tons,"1,453",306,-15,0,0,Tons, ,26
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by . . .", , , ,5, , , ,,"141,654",8,3,"142,439",Tons,994,846,27,0,"83,313",Tons,"1,023",244
481031,"Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically . . .", , , ,10, , , ,,"13,398",-2,5,0,Tons, ,2,-57,0,"1,839",Tons,965,
481032,"Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically . . .", , , ,5, , , ,,"244,444",48,17,"130,925",Tons,"1,867",12,-2,0,"67,754",Tons,"1,006",20
481039,"Kraft paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, . . .", , , ,10, , , ,,"18,952",7,2,"18,503",Tons,"1,024",49,-37,0,0,Tons, ,19
481092,"Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic . . .", , , ,10, , , ,,"370,432",7,3,"477,072",No quantity,776,"1,441",64,0,0,No quantity, ,934
481099,"Paper and paperboard, coated on one or both sides with kaolin ""China clay"" or other inorganic . . .", , , ,10, , , ,,"15,004",5,2,"9,202",No quantity,"1,631","1,833",64,0,"29,596",No quantity,"1,069",92
481110,"Tarred, bituminised or asphalted paper and paperboard, in rolls or in square or rectangular . . .", , , ,5, , , ,,78,-37,0,85,Tons,918,61,34,0,123,Tons,"2,659",
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls . . .", , , ,15, , , ,,"105,885",11,2,"38,736",Tons,"2,734","3,856",16,0,"26,110",Tons,"2,532",297
481149,"Gummed or adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in . . .", , , ,15, , , ,,"9,067",15,2,"1,634",Tons,"5,549",719,21,0,453,Tons,"3,879",40
481151,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or . . .", , , ,20, , , ,,"66,356",21,2,"23,297",Tons,"2,848","8,098",2,0,"18,551",Tons,"2,085",
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or . . .", , , ,17, , , ,,"150,123",-13,2,0,Tons, ,"3,279",2,0,"24,076",Tons,"2,570",
481160,"Paper and paperboard, coated, impregnated or covered with wax, paraffin wax, stearin, oil or . . .", , , ,15, , , ,,"6,224",16,1,"1,779",No quantity,"3,499",995,-7,0,"2,898",No quantity,"2,039",
481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose, coated, impregnated, covered, . . .", , , ,12, , , ,,"126,847",17,2,0,Tons, ,"4,031",0,0,"24,098",Tons,"2,429",
481200,"Filter blocks, slabs and plates, of paper pulp", , , ,0, , , ,,"1,714",3,1,234,Tons,"7,325",35,56,0,207,Tons,"7,362",3
481310,Cigarette paper in the form of booklets or tubes, , , ,20, , , ,,44,-57,0,2,Tons,"22,000","1,186",12,0,123,Tons,"23,984",
481320,Cigarette paper in rolls of a width of <= 5 cm, , , ,20, , , ,,"8,665",-7,1,0,Tons, ,137,-9,0,"10,625",Tons,"2,331",
481390,"Cigarette paper, whether or not cut to size (excl. in the form of booklets or tubes, and rolls . . .", , , ,20, , , ,,"9,382",-3,1,0,Tons, ,"2,190",47,0,"7,701",Tons,"3,180",
481420,"Wallpaper and similar wallcoverings of paper, consisting of paper coated or covered, on the . . .", , , ,25, , , ,,"65,074",1,6,"13,983",Tons,"4,654","119,278",298,9,0,Tons, ,31
481490,"Wallpaper and similar wallcoverings of paper, and window transparencies of paper (excl. wallcoverings . . .", , , ,20, , , ,,536,-41,0,129,Tons,"4,155",121,-26,0,274,Tons,"11,058",1
481620,"Self-copy paper, in rolls of a width of <= 36 cm or in rectangular or square sheets with no . . .", , , ,10, , , ,,"2,966",-28,2,"1,866",Tons,"1,589",125,5,0,"2,771",Tons,"1,736",11
481690,"Copying or transfer papers, in rolls of a width of <= 36 cm or in rectangular or square sheets . . .", , , ,18, , , ,,"10,527",2,4,"2,222",No quantity,"4,738",33,-21,0,788,No quantity,"5,718",3
481710,Envelopes of paper or paperboard (excl. letter cards), , , ,25, , , ,,"6,305",59,1,0,No quantity, ,"7,215",9,1,0,No quantity, ,23
481720,"Letter cards, plain postcards and correspondence cards, of paper or paperboard (excl. those . . .", , , ,25, , , ,,96,-27,0,0,Tons, ,53,-9,0,0,Tons, ,-
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment . . .", , , ,25, , , ,,"6,698",68,4,"1,870",Tons,"3,582",233,2,0,412,Tons,"6,985",22
481810,Toilet paper in rolls of a width of <= 36 cm, , , ,18, , , ,,"12,891",8,0,"6,331",No quantity,"2,036","1,439",-15,0,"3,218",No quantity,"2,485",55
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding . . .", , , ,18, , , ,,"16,954",18,0,"4,439",No quantity,"3,819","7,420",10,0,"6,549",No quantity,"2,495",47
481830,"Tablecloths and serviettes of paper pulp, paper, cellulose wadding or webs of cellulose fibres", , , ,20, , , ,,"3,152",30,0,357,No quantity,"8,829",384,-11,0,"1,483",No quantity,"4,510",-
481850,"Articles of apparel and clothing accessories, of paper pulp, paper, cellulose wadding or webs . . .", , , ,20, , , ,,"1,302",-18,1,0,No quantity, ,83,62,0,15,No quantity,"21,800",34
481890,"Paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary . . .", , , ,20, , , ,,"13,523",14,1,"4,428",No quantity,"3,054",622,-2,0,"2,020",No quantity,"2,777",4
481910,"Cartons, boxes and cases, of corrugated paper or paperboard", , , ,15, , , ,,"164,305",28,2,"50,785",No quantity,"3,235","14,409",-8,0,0,No quantity, ,"1,066"
481920,"Folding cartons, boxes and cases, of non-corrugated paper or paperboard", , , ,15, , , ,,"177,762",8,2,"33,428",Tons,"5,318","18,582",4,0,"21,380",Tons,"4,393",661
481930,"Sacks and bags, of paper, paperboard, cellulose wadding or webs of cellulose fibres, having . . .", , , ,20, , , ,,"2,835",33,0,0,No quantity, ,"3,809",3,0,"1,829",No quantity,"2,624",9
481940,"Sacks and bags, incl. cones, of paper, paperboard, cellulose wadding or webs of cellulose fibres . . .", , , ,20, , , ,,"37,856",10,1,"10,696",No quantity,"3,539","11,902",28,0,"14,001",No quantity,"4,491",28
481950,"Packing containers, incl. record sleeves, of paper, paperboard, cellulose wadding or webs of . . .", , , ,20, , , ,,"108,820",28,4,"12,391",Tons,"8,782","1,042",21,0,"7,435",Tons,"6,908",21
481960,"Box files, letter trays, storage boxes and similar articles, of paperboard, of a kind used . . .", , , ,20, , , ,,"1,073",10,0,197,No quantity,"5,447",507,-4,0,552,No quantity,"3,498",3
482010,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, . . .", , , ,25, , , ,,"33,915",38,1,0,No quantity, ,"1,226",-7,0,0,No quantity, ,-
482020,Exercise books of paper or paperboard, , , ,25, , , ,,913,16,0,171,No quantity,"5,339",882,-11,0,0,No quantity, ,5
482030,"Binders (other than book covers), folders and file covers, of paper or paperboard", , , ,25, , , ,,"2,399",-8,0,"1,181",Tons,"2,031",217,-11,0,"3,900",Tons,"2,121",-
482040,"Manifold business forms and interleaved carbon sets, of paper or paperboard", , , ,25, , , ,,96,-23,0,18,Tons,"5,333",49,10,0,662,Tons,"1,903",
482050,"Albums for samples or collections, of paper or paperboard", , , ,25, , , ,,"3,114",32,2,422,No quantity,"7,379",115,11,0,0,No quantity, ,-
482090,"Blotting pads and similar articles of stationery, of paper and paperboard, and book covers . . .", , , ,25, , , ,,"4,626",-22,1,676,Tons,"6,843",802,-17,0,443,Tons,"5,372",40
482110,"Paper or paperboard labels of all kinds, printed", , , ,18, , , ,,"236,680",8,5,"20,676",No quantity,"11,447","13,574",4,0,"2,362",No quantity,"6,746","1,126"
482190,"Paper or paperboard labels of all kinds, non-printed", , , ,20, , , ,,"52,325",10,4,"8,460",Tons,"6,185","1,714",-13,0,"2,992",Tons,"3,672",409
482210,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not . . .", , , ,5, , , ,,"2,490",-1,3,"1,562",No quantity,"1,594",77,496,0,434,No quantity,"1,067",
482290,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not . . .", , , ,5, , , ,,"8,904",11,2,"5,038",No quantity,"1,767","1,240",22,0,0,No quantity, ,175
482320,"Filter paper and paperboard, in strips or rolls of a width <= 36 cm, in rectangular or square . . .", , , ,5, , , ,,"30,366",21,3,"6,019",Tons,"5,045",195,4,0,"4,409",Tons,"5,143",34
482340,"Rolls, sheets and dials, printed for self-recording apparatus, in rolls of a width <= 36 cm, . . .", , , ,0, , , ,,"9,099",2,5,"1,487",Tons,"6,119",375,-35,0,"2,137",Tons,"3,674",33
482361,"Trays, dishes, plates, cups and the like, of bamboo paper or bamboo paperboard", , , ,20, , , ,,45,2,0,0,Tons, ,159,23,0,18,Tons,"7,111",
482369,"Trays, dishes, plates, cups and the like, of paper or paperboard (excl. of bamboo paper or . . .", , , ,20, , , ,,"24,278",45,1,"3,298",No quantity,"7,361","13,060",24,0,"15,724",No quantity,"2,580",
482370,"Moulded or pressed articles of paper pulp, n.e.s.", , , ,5, , , ,,"39,537",9,2,"8,160",No quantity,"4,845",146,22,0,"4,132",No quantity,"2,523",35
482390,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, in strips or rolls of a . . .", , , ,19, , , ,,"254,826",32,5,"57,479",Tons,"4,433","2,220",-16,0,"31,235",Tons,"3,379",
490110,"Printed books, brochures and similar printed matter, in single sheets, whether or not folded . . .", , , ,0, , , ,,"7,181",8,0,0,Tons, ,"5,904",0,0,0,Tons, ,145
490191,"Dictionaries and encyclopaedias, and serial instalments thereof", , , ,0, , , ,,622,18,1,0,No quantity, ,431,45,0,0,No quantity, ,2
490199,"Printed books, brochures and similar printed matter (excl. those in single sheets; dictionaries, . . .", , , ,3, , , ,,"18,656",-1,0,0,No quantity, ,"45,736",-2,0,0,No quantity, ,280
490210,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising . . .", , , ,0, , , ,,"1,809",49,1,"5,246",Tons,345,295,-8,0,249,Tons,"3,048",13
490290,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising . . .", , , ,0, , , ,,"1,597",93,0,"3,156",No quantity,506,402,-21,0,0,No quantity, ,1
490300,"Children's picture, drawing or colouring books", , , ,0, , , ,,"1,291",12,0,192,No quantity,"6,724","1,823",5,0,0,No quantity, ,-
490400,"Music, printed or in manuscript, whether or not bound or illustrated", , , ,5, , , ,,44,4,0,1,No quantity,"44,000",46,-28,0,8,No quantity,"24,375",
490510,"Globes, printed (excluding relief globes)", , , ,0, , , ,,8,-5,0,0,Tons, ,2,-12,0,0,Tons, ,
490591,"Maps and hydrographic or similar charts of all kinds, incl. atlases and topographical plans, . . .", , , ,0, , , ,,5,-22,0,1,No quantity,"5,000",10,15,0,2,No quantity,"23,500",
490599,"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps and topographical . . .", , , ,0, , , ,,50,-18,0,2,Tons,"25,000",11,-35,0,21,Tons,"20,762",
490600,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or . . .", , , ,0, , , ,,25,-52,0,0,No quantity, ,"3,048",-9,4,0,No quantity, ,11
490700,"Unused postage, revenue or similar stamps of current or new issue in the country in which they . . .", , , ,8, , , ,,345,-40,0,0,Tons, ,"10,323",-54,1,0,Tons, ,17
490810,"Transfers ""decalcomanias"", vitrifiable", , , ,5, , , ,,"7,124",0,6,0,Tons, ,117,-54,0,0,Tons, ,12
490890,"Transfers ""decalcomanias"" (excl. vitrifiable)", , , ,15, , , ,,"98,047",15,10,0,Tons, ,158,-43,0,0,Tons, ,34
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, . . .", , , ,20, , , ,,761,-31,0,0,No quantity, ,120,-13,0,0,No quantity, ,-
491000,"Calendars of any kinds, printed, incl. calendars blocks", , , ,20, , , ,,"1,236",-1,0,195,No quantity,"6,338",355,-11,0,85,No quantity,"9,529",-
491110,"Trade advertising material, commercial catalogues and the like", , , ,20, , , ,,"55,147",42,2,0,No quantity, ,"3,423",-17,0,0,No quantity, ,67
491191,"Pictures, prints and photographs, n.e.s.", , , ,14, , , ,,"7,004",31,0,"2,400",No quantity,"2,918","1,271",16,0,521,No quantity,"13,833",7
491199,"Printed matter, n.e.s.", , , ,20, , , ,,"55,165",29,1,0,No quantity, ,"12,377",-8,0,"1,253",No quantity,"52,393",-
500100,Silkworm cocoons suitable for reeling, , , , , , , ,,835, ,6,58, ,"14,397", , , , , , ,
500200,"Raw silk ""non-thrown""", , , ,5, , , ,,"46,489",-4,10,803,Tons,"57,894",81, ,0,46,Tons,"57,674",-
