company name,contact number,area,product category 1,product category 2
"KERLAB LABORATORIES, S.A. DE C.V.",tel:+52 33 3627 1710,Zapopan - Mexico,Food,"Food, dehydrated and freeze-dried"
"TALLERES NAVALES DEL GOLFO, S.A. DE C.V., TNG",tel:+52 229 989 2500,Veracruz - Mexico,Means of transport,Shipbuilding and maintenance services
"PRODUCTOS PESQUEROS DE GUAYMAS, S.A. DE C.V., GUAYMEX",tel:+52 622 225 0300,Guaymas - Mexico,Livestock and fish,Tuna
"NOVUX SYSTEMS, S.A. DE C.V.",tel:+52 81 8305 8000,Monterrrey - Mexico,Hygiene and cleaning,Bath and shower products
"CORPORACION QUAN, S.A. DE C.V.",tel:+52 55 5257 6915,México - Mexico,"Hospitality, tourism, hotel and catering industries",Restaurants and bars
"EMBOTELLADORA DEL NORTE DE COAHUILA, S.A. DE C.V.",tel:+52 878 782 6800,Ciudad nava - Mexico,"Lemonade, carbonated and soft drinks, non-alcoholic",Beverages
"ABB MEXICO, S.A. DE C.V. (Corporativo)",tel:+52 55 3601 9500,Naucalpan - Mexico,Food,Yeast for food and beverages
"CARRIER MEXICO, S.A. DE C.V., CARRIER",tel:+52 81 8124 7600,Santa catarina - Mexico,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Boilers
"AEROPUERTO DE MONTERREY, S.A. DE C.V.",tel:+52 81 8625 4300,Apodaca - Mexico,"Air transport services, passenger and freight",Transportation and logistics services
CARVEL PRINT SERIGRAPH INC. (OFICINAS DE VENTAS),tel:+52 55 5292 2848,México - Mexico,Adhesive and self-adhesive tapes and rolls,Paper and board
"POCHTECA MATERIAS PRIMAS, S.A. DE C.V.",tel:+52 55 5278 5900,México - Mexico,Glass fibre reinforced plastic (GRP) products,Plastic products
"TOTAL SOLUTIONS DE MEXICO, S.A. DE C.V. (Oficina General)",tel:+52 722 280 8965,Metepec - Mexico,Telecommunication systems,Electronic equipment. Telecommunications equipment
"INDUSTRIAS ACROSS WHIRLPOOL, S.A. DE C.V.",tel:+52 81 8329 2200,Apodaca - Mexico,Hygiene and cleaning,"Washing machines and equipment, domestic"
"EMBOTELLADORAS ARCA, S.A.B. DE C.V.",tel:+52 81 8151 1400,Monterrey - Mexico,"Lemonade, carbonated and soft drinks, non-alcoholic",Beverages
"HIROTEC MEXICO, S.A. DE C.V.",tel:+52 472 722 7100,Silao - Mexico,Means of transport,"Coachbuilders, motor vehicles"
"XACTICO, S.A. DE C.V., WOW",tel:+52 55 5822 4433,Atizapán de zaragoza - Mexico,"Tableware, plastic",Plastic products
"PISOS CREATIVOS, S. DE R.L. DE C.V.",tel:+52 55 5358 8594,Naucalpan - Mexico,"Flooring, wooden. Parquet","Timber, wooden products, machinery and equipment for the woodworking industry"
"FABRICAS DE PAPEL POTOSI, S.A. DE C.V.",tel:+52 444 824 5910,San luis potosí - Mexico,Paper and board,"Paper and board, graphic design use, for drawing and writing"
"FRIGORIFICO AGROPECUARIA SONORENSE, S. DE R.L. DE C.V.",tel:+52 662 259 5800,Hermosillo - Mexico,Food,"Abattoir products, non-processed"
"LABORATORIOS FARMA DEM, S.A. DE C.V.",tel:+52 55 5783 8143,Ecatepec de morelos - Mexico,Vitamines,Chemical base materials
"FREXPORT, S.A. DE C.V.",tel:+52 351 530 9500,Zamora - Mexico,Food,"Fruit, processed"
"PASTAS ALIMENTICIAS LAZIALI, S.A. DE C.V.",tel:+52 722 249 6153,Toluca - Mexico,Food,Pasta
"ROBERT BOSCH SISTEMAS DE FRENOS, S.A. DE C.V.",tel:+52 444 826 7400,San luis potosí - Mexico,Means of transport,"Coachbuilders, motor vehicles"
"KALTEX HOME, S.A. DE C.V.",tel:+52 55 5726 5600,Naucalpan de juárez - Mexico,Textiles,Covers
"COMPAÑIA MINERA CAOPAS, S.A. DE C.V.",tel:+52 844 415 1455,Saltillo - Mexico,Coal,"Energy, fuel and water"
"LABORATORIOS KENER, S.A. DE C.V.",tel:+52 55 5095 4940,México - Mexico,Raw materials for pharmaceuticals,Chemical base materials
"INTERVET MEXICO, S.A. DE C.V.",tel:+52 713 135 0300,Santiago tianguistenco - Mexico,Hormones,Chemical base materials
"AREVA T & D, S.A. DE C.V.",tel:+52 779 796 9900,Tizayuca - Mexico,Antistatic equipment,Electrical equipment. Nuclear equipment
"TI GROUP AUTOMOTIVE SYSTEMS, S. DE R.L. DE C.V.",tel:+52 55 5864 2000,Tultitlán - Mexico,"Metal pipework, valves and containers","Hoses and tubes, flexible, metal"
"PRODUCTOS INTERNACIONALES MABE, S.A. DE C.V., MABESA",tel:+52 222 223 6100,Puebla - Mexico,Intimate care products for women,Hygiene and cleaning
"OXBOW DE MEXICO, S. DE R.L. DE C.V.",tel:+52 55 5545 9323,México - Mexico,Silica minerals,Ores and minerals
"CARPLASTIC, S.A. DE C.V.",tel:+52 81 8369 2200,Apodaca - Mexico,Means of transport,Motor vehicle body spare parts
"KEY TRONIC JUAREZ, S.A. DE C.V.",tel:+52 656 629 2100,Ciudad juárez - Mexico,Electric substations and switch- boxes,Electrical equipment. Nuclear equipment
"PIMS, S.A. DE C.V.",tel:+52 686 561 5000,Mexicali - Mexico,Televisions,Electronic equipment. Telecommunications equipment
"ASEINCO INTERNACIONAL, S.A. DE C.V.",tel:+52 55 5584 0911,México - Mexico,Food,"Food, dehydrated and freeze-dried"
"GAC CORPORATION DE MEXICO, S.A. DE C.V.",tel:+52 866 649 0700,Frontera - Mexico,Means of transport,"Motor vehicle ventilation, heating and air conditioning (HVAC) systems"
"SANMINA SCI SYSTEMS DE MEXICO, S.A. DE C.V. (PLANTA 1)",tel:+52 33 3668 9700,El salto - Mexico,Electronics industry contractors,Electronic equipment. Telecommunications equipment
"TEIJIN AKRA, S.A. DE C.V.",tel:+52 81 8748 7100,San pedro garza garcía - Mexico,"Textile fibres, man-made",Textiles
"GCC CEMENTO, S.A. DE C.V., GCC (PLANTA)",tel:+52 656 649 5000,Samalayuca - Mexico,Raw gypsum and anhydrite,Ores and minerals
"ABINSA, S.A. DE C.V.",tel:+52 81 8158 6800,San nicolás de los garza - Mexico,"Bars, steel and rolled steel",Basic metal products
"PANEL REY, S.A.",tel:+52 81 8345 0055,Monterrey - Mexico,Basic metal products,Raw pig-iron
"PURATOS DE MEXICO, S.A. DE C.V.",tel:+52 779 796 9201,Tizayuca - Mexico,Food,"Fruit, processed"
"EMBOTELLADORA MANTE, S.A. DE C.V.",tel:+52 831 233 9400,Ciudad mante - Mexico,"Lemonade, carbonated and soft drinks, non-alcoholic",Beverages
"REPUESTOS ELECTRICOS GENERALES, S.A. DE C.V.",tel:+52 81 8374 2010,Monterrey - Mexico,Exhaust system components for internal combustion engine,Engines and mechanical parts
"OPERADORA FUTURAMA, S.A. DE C.V., TIENDAS ALSUPER",tel:+52 614 442 1100,Chihuahua - Mexico,Department and chain stores,"General traders, department and retail stores"
"PROMOTORA MUSICAL, S.A. DE C.V., MIXUP",tel:+52 55 2629 5400,México - Mexico,Printing and publishing,"Book, compact disc (CD) and digital versatile disc (DVD) clubs"
"EXPOR SAN ANTONIO, S.A. DE C.V.",tel:+52 461 596 0000,Villagran - Mexico,Agriculture and forestry,Root vegetables
"METROCOM REDES Y SERVICIOS, S.A. DE C.V.",tel:+52 55 5556 9032,México - Mexico,Wires and cables for telecommunications and electronics,Electronic equipment. Telecommunications equipment
"IMPULSORA DE MATERIALES DE TENAYUCA, S.A. DE C.V., IMESA",tel:+52 55 5220 0700,Tenayuca - Mexico,Ceramic flooring tiles,"Glass, cement and ceramics"
"PRODUCTOS ELECTRICOS DE TIJUANA, S.A. DE C.V.",tel:+52 664 686 8601,Tijuana - Mexico,Electrical equipment. Nuclear equipment,Electromechanical converters
"MIGUEL ANGEL ECHAVARRIA VALENZUELA, EMPAQUES MAEVA",tel:+52 687 872 9599,Guasave - Mexico,Agriculture and forestry,Pulses and legumes
"ACER COMPUTEC MEXICO, S.A. DE C.V.",tel:+52 55 5999 9400,México - Mexico,Information technology (IT) and Internet,Servers (computing)
"DULCO, S.A. DE C.V.",tel:+52 55 2620 9000,Tepotzotlán - Mexico,Sugar confectionery,Food
"DINA CAMIONES, S.A. DE C.V.",tel:+52 791 913 8050,Fray bernardino de sahagún - Mexico,Means of transport,Buses and motor coaches
"NACIONAL DE ALIMENTOS Y HELADOS, S.A. DE C.V.",tel:+52 81 8122 2300,Santa catarina - Mexico,Agriculture and forestry,Oilseed plants and crops
"PRODUCTOS ELECTRICOS UNIVERSALES DE MATAMOROS, S.A. DE C.V.",tel:+52 868 811 2100,Matamoros - Mexico,"Support systems and products, metal","Hardware, ironmongery, cutlery and tools"
"COMPAÑIA EMBOTELLADORA DEL PACIFICO, S.A., COCA-COLA",tel:+52 669 989 1000,Mazatlán - Mexico,"Lemonade, carbonated and soft drinks, non-alcoholic",Beverages
"CRISOL TEXTIL, S.A. DE C.V.",tel:+52 55 5999 2100,México - Mexico,Textiles,"Threads, sewing and embroidery"
"EMPRESA AGA, S.A. DE C.V.",tel:+52 55 1669 2000,Tepotzotlán - Mexico,"Flooring, roofing and wall coverings, plastic, for the building industry",Plastic products
"TEKA MEXICANA, S.A. DE C.V.",tel:+52 55 5133 0493,México - Mexico,Kitchen sinks,Furniture and linen
"FORGAMEX, S.A. DE C.V.",tel:+52 33 3812 2414,Guadalajara - Mexico,"Metal pipework, valves and containers","Valves, cocks, taps and fittings, metal, by use"
"KARTELL DE MEXICO, S.A. DE C.V.",tel:+52 33 3619 1616,Guadalajara - Mexico,Plastic containers,Plastic products
"HARMAN BECKER AUTOMOTIVE SYSTEMS, S.A. DE C.V.",tel:+52 656 629 8400,Ciudad juárez - Mexico,Amplifiers,Electronic equipment. Telecommunications equipment
"SEALED AIR DE MEXICO, S.A. DE C.V.",tel:+52 722 279 3800,Toluca - Mexico,Paper and board,Cardboard by use
"INDUSTRIAS DEL INTERIOR, S. DE R.L. DE C.V., LAVAMEX",tel:+52 449 910 6100,Aguascalientes - Mexico,Textiles,Finishing services for fabrics and textile goods
"KEMIRA DE MEXICO, S.A. DE C.V., KEMIRA",tel:+52 222 281 5336,Nativitas - Mexico,Water supply services,"Energy, fuel and water"
"COMERCIALIZADORA BRIMAR'S, S.A. DE C.V.",tel:+52 667 712 6044,Culiacán - Mexico,Hygiene and cleaning,Bath and shower products
"VITRO FLEX, S.A. DE C.V., VITRO AUTOMOTRIZ",tel:+52 81 8329 3700,García - Mexico,Glass products,"Glass, cement and ceramics"
"FARMACIAS BENAVIDES, S..A DE C.V.",tel:+52 81 8150 7700,Monterrey - Mexico,"Health, medical and pharmaceutical",Pharmaceutical preparations for the central and autonomic nervous system and anaesthetics
"JANEL, S.A. DE C.V.",tel:+52 55 5646 9000,México - Mexico,Adhesive labels,Paper and board
"WYETH, S.A. DE C.V. (WYETH PHARMACEUTICALS)",tel:+52 55 5629 5900,Naucalpan - Mexico,Food,Milks
"SAINT-GOBAIN VETROTEX AMERICA, S.A. DE C.V., DIVISION - REFUERZOS",tel:+52 241 418 8200,Tetla - Mexico,Textiles,"Ribbons and tapes, textile"
"DISTRIBUIDORA QUIMICA MEXICANA, S.A. DE C.V., DIQUIMEX",tel:+52 55 5831 7903,Cuautitlán izcalli - Mexico,"Inorganic alkalis, hydroxides",Chemical base materials
"STUDIO EMME, S.A. DE C.V.",tel:+52 55 5522 0446,México - Mexico,Textiles,"Fabrics, cotton, for clothing and household linen"
"FABRICA DE JABON LA CORONA, S.A. DE C.V.",tel:+52 55 5747 4545,Ecatepec de morelos - Mexico,Food,Pasta
"PRODUCTOS INTEGRAL KRAFT, S. DE R.L. DE C.V. (Corporativo)",tel:+52 55 5258 8700,México - Mexico,Agriculture and forestry,Edible seeds
"EMPACADORA THERBAL, S.A. DE C.V., THERBAL",tel:+52 55 5426 2066,México - Mexico,Agriculture and forestry,Herb and spice plants
"QUIMICA DELTA, S.A. DE C.V.",tel:+52 55 5246 2100,Teoloyucan - Mexico,Inorganic chemicals NES,Chemical base materials
"TRANSPORTES AEROMAR, S.A. DE C.V.",tel:+52 55 5133 1107,México - Mexico,"Air transport services, passenger and freight",Transportation and logistics services
"PLASTICOS REX, S.A. DE C.V.",tel:+52 55 5377 4300,México - Mexico,"Pipes, tubes, ducts and hoses, plastic",Plastic products
"INDUSTRIAL PAPELERA MEXICANA, S.A. DE C.V., IMPAMEX",tel:+52 452 527 5200,Uruapan - Mexico,Paper and board,"Paper and board, graphic design use, for drawing and writing"
"SERVICIOS ESPECIALIZADOS EN SISTEMAS Y ORGANIZACION, S.A. DE C.V.",tel:+52 55 5668 3782,México - Mexico,Information technology (IT) and Internet,Computer processors
"MAGNIFIL, S.A. DE C.V.",tel:+52 55 5872 8110,Cuautitlán izcalli - Mexico,"Textile fibres, man-made",Textiles
"TERCIOPELERA NACIONAL, S.A. DE C.V.",tel:+52 55 5972 0477,Ixtapaluca - Mexico,Furniture and linen,Tapestries
"COMPAÑIA MANUFACTURERA LIBRA, S.A. DE C.V.",tel:+52 871 729 2100,Torreón - Mexico,Clothes by fabric,Clothing and footwear
"ENVASES Y LAMINADOS, S.A. DE C.V., ELSA (Planta de Tambor de Fibra y Plástico)",tel:+52 55 5888 1529,Tultitlán - Mexico,Paper and board,Cardboard
"PYN, S.A. DE C.V., PYNSA",tel:+52 55 2122 2400,Naucalpan - Mexico,"Plates and panels, plastic",Plastic products
"URREA HERRAMIENTAS PROFESIONALES, S.A. DE C.V.",tel:+52 33 3208 7900,El salto - Mexico,Basic metal products,"Refined, special and tool steels"
"DANA HEAVY AXLE MEXICO, S.A. DE C.V.",tel:+52 722 279 3901,Toluca - Mexico,Means of transport,Motor vehicle body spare parts
"GKN DRIVELINE CELAYA, S.A. DE C.V.",tel:+52 461 618 5399,Celaya - Mexico,Means of transport,Motor vehicle body spare parts
"TRAJES INTERNACIONALES, S.A. DE C.V.",tel:+52 55 5762 3560,México - Mexico,Clothes for men,Clothing and footwear
"GRUPO ISMARK, S.A. DE C.V.",tel:+52 55 5709 6464,México - Mexico,Clothes by fabric,Clothing and footwear
"COOPERATIVA LA CRUZ AZUL, S.C.L., CEMENTOS CRUZ AZUL",tel:+52 55 5687 2030,México - Mexico,Cement,"Glass, cement and ceramics"
"ELECTRO OPTICA, S.A. DE C.V.",tel:+52 55 5321 1300,Tlalnepantla - Mexico,Means of transport,Trucks/lorries spare parts
"PELLETIER PARIS, S.A. DE C.V.",tel:+52 55 5250 8600,México - Mexico,"Precious stoneworking, watchmaking and jewellery",Jewellery
"SAYER LACK MEXICANA, S.A. DE C.V. (PLANTA)",tel:+52 442 238 1800,Apaseo el alto - Mexico,Chemical products,"Pigments, synthetic"
"BENTELER DE MEXICO, S.A. DE C.V.",tel:+52 222 223 2000,Puebla - Mexico,Hygiene and cleaning,"Cleaning products and detergents, by use"
"SEARS ROEBUCK DE MEXICO, S.A. DE C.V.",tel:+52 55 5257 9300,México - Mexico,Clothes for women,Clothing and footwear
"INDUSTRIAS CITRICOLAS DE MONTEMORELOS, S.A. DE C.V., ICMOSA",tel:+52 826 263 2198,Montemorelos - Mexico,Food,Food processing services
"MET-MEX PEÑOLES, S.A. DE C.V.",tel:+52 871 729 5500,Torreón - Mexico,"Ores, heavy metal",Ores and minerals
"QUIMIPRODUCTOS, S.A. DE C.V. (OFICINAS - MATRIZ)",tel:+52 81 8305 6500,San nicolás de los garza - Mexico,Adhesive and self-adhesive tapes and rolls,Paper and board
"JANSSEN CILAG, S.A. DE C.V., JHONSON & JHONSON",tel:+52 55 5484 2300,México - Mexico,"Health, medical and pharmaceutical",Pharmaceutical preparations for the central and autonomic nervous system and anaesthetics
"CONDUCTORES MEXICANOS ELECTRICOS Y DE TELECOMUNICACIONES, S.A. DE C.V., COMETEL (PLANTA VALLEJO - MAGNETO Y POTENCIA -)",tel:+52 55 5328 9905,México - Mexico,"Hardware, ironmongery, cutlery and tools","Non-ferrous metal wires, by use"
"ALTOPRO, S.A. DE C.V. (PLANTA)",tel:+52 55 5624 8400,México - Mexico,"Plates and panels, plastic",Plastic products
"CASA DIAZ DE MAQUINAS DE COSER, S.A. DE C.V.",tel:+52 55 5764 9090,México - Mexico,Plastic products for the textile industry,Plastic products
"ELAMEX DE JUAREZ, S.A. DE C.V.",tel:+52 656 649 1000,Ciudad juárez - Mexico,Sugar confectionery,Food
"TECHNICOLOR HOME ENTERTAIMENT SERVICES DE MEXICO, S. DE R.L. DE C.V.",tel:+52 55 5864 1700,Tultitlán - Mexico,"Leisure, culture and entertainment",Film productions
"CANOFIL, S.A. DE C.V.",tel:+52 55 5366 7100,Tlalnepantla - Mexico,Clothes for women,Clothing and footwear
"BUFETE INTERNACIONAL DE INTERCAMBIO, S.A. DE C.V.",tel:+52 55 5255 5559,México - Mexico,Logistics and procurement services,Transportation and logistics services
"COMERCIAL ESSEX, S.A. DE C.V.",tel:+52 81 1160 6500,San nicolás de los garza - Mexico,Fuels and petroleum based products,Chemical base materials
"TECHNO PRO, S.A. DE C.V.",tel:+52 998 886 3082,Cancún - Mexico,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air heaters
"NIEN HSING INTERNATIONAL VICTORIA, S.A. DE C.V.",tel:+52 834 318 0200,Ciudad victoria - Mexico,"Yarns and twists, cotton, by use",Textiles
"ALIMENTOS KOWI, S.A. DE C.V., GRUPO KOWI",tel:+52 642 422 7515,Sonora - Mexico,Food,"Abattoir products, non-processed"
"MUEBLERIAS FUTURAMA, S.A. DE C.V.",tel:+52 614 432 3050,Chihuahua - Mexico,"Furniture, domestic",Furniture and linen
"IMPORTADORA Y EXPORTADORA DE FRUTAS Y LEGUMBRES DE MEXICO, S.A. DE C.V.",tel:+52 664 622 0102,Tijuana - Mexico,Agriculture and forestry,Pulses and legumes
"PRODUCTOS AVICOLAS EL CALVARIO, S.A. DE C.V.",tel:+52 238 382 1500,Tehuacan - Mexico,Eggs,Livestock and fish
"EMBOTELLADORA DE MEXICALI, S.A. DE C.V.",tel:+52 686 562 8800,Mexicali - Mexico,Beverages,Cordials (squash)
"DAISYTEK DE MEXICO, S.A. DE C.V.",tel:+52 55 5000 3500,México - Mexico,Electrical equipment. Nuclear equipment,Electric power supplies
"RINTEX, S.A. DE C.V.",tel:+52 777 319 1901,Jiutepec - Mexico,"Yarns and twists, cotton, by use",Textiles
"LEVITON DE MEXICO, S. DE R.L. DE C.V.",tel:+52 656 620 0705,Ciudad juárez - Mexico,"Glass, cement and ceramics",Graphite products
"CASTEL PLAST, S.A. DE C.V.",tel:+52 55 5581 6846,México - Mexico,Rubber products,Rubber and rubber proofed fabrics
"CHUPALETAS, S.A. DE C.V.",tel:+52 33 3823 0808,Guadalajara - Mexico,Sugar confectionery,Food
"PLASTIC OMNIUM AUTOEXTERIORES, S.A. DE C.V. (DIVISION SISTEMAS URBANOS)",tel:+52 222 223 8000,Puebla - Mexico,"Hardware, ironmongery, cutlery and tools",Ironmongery and hardware for coachwork
"GRUPO NAVARRA, S.A. DE C.V.",tel:+52 238 380 3700,Tehuacán - Mexico,Textiles,Dyeing services for fabrics and textile goods
"FOTOSISTEMAS ESPECIALIZADOS, S.A. DE C.V.",tel:+52 33 3669 3333,Guadalajara - Mexico,Paper and board,"Photographic paper, board, film, cloth and plates. Diazo/dyeline paper"
"FEMSA EMPAQUES, S.A. DE C.V.",tel:+52 81 8328 6000,Monterrey - Mexico,"Metal pipework, valves and containers","Packaging caps and closures, metal"
"FERSINSA GB, S.A. DE C.V.",tel:+52 844 450 0000,Ramos arizpe - Mexico,Acromycin,Chemical base materials
"LABORATORIOS SILANES, S.A. DE C.V.",tel:+52 55 5488-3700,México - Mexico,"Health, medical and pharmaceutical",Pharmaceutical preparations for the central and autonomic nervous system and anaesthetics
"DATAPRODUCTS DE MEXICO, S.A. DE C.V.",tel:+52 55 5611 9015,México - Mexico,Rotary printing,Printing and publishing
"VENTRAMEX, S.A. DE C.V., FLEX-N-GATE QUERETARO",tel:+52 442 196 0700,El marques - Mexico,Means of transport,Trucks/lorries spare parts
"TELEFONICA MOVILES MEXICO, S.A. DE C.V., DIVISION - TELEFONICA MOVISTAR",tel:+52 55 1616 5000,México - Mexico,Telephones,Electronic equipment. Telecommunications equipment
"LIBERTY MEXICANA, S.A. DE C.V.",tel:+52 55 5569 2333,Ecatepec de morelos - Mexico,Means of transport,Motor vehicle transmission parts and spare parts
"MAHLE COMPONENTES DE MOTOR DE MEXICO, S. DE R.L. DE C.V.",tel:+52 844 411 3700,Ramos arizpe - Mexico,Cylinder block components for internal combustion engine,Engines and mechanical parts
"EMBOTELLADORA DE OCCIDENTE, S.A. DE C.V.",tel:+52 33 3678 6600,Guadalajara - Mexico,"Lemonade, carbonated and soft drinks, non-alcoholic",Beverages
"NEGOCIACION FABRIL DE SORIA, S.A. DE C.V., CASIMIRES SORIA (Fabrica)",tel:+52 412 156 5095,Soria - Mexico,"Textile fibres, man-made",Textiles
"PAPELES HIGIENICOS DEL CENTRO, S.A. DE C.V., COPAMEX",tel:+52 55 9171 2300,Ecatepec de morelos - Mexico,Paper and board,Hygiene paper
"CONSORCIO INDUSTRIAL VALSA, S.A. DE C.V. (Oficinas Corporativas)",tel:+52 55 5571 5422,México - Mexico,Chemical products,Chemicals for the basic metal industries
"INTIMARK, S.A. DE C.V.",tel:+52 712 122 9999,Ixtlahuaca - Mexico,Clothes by fabric,Clothing and footwear
"MEGA EMPACK, S.A. DE C.V.",tel:+52 999 982 3693,Mérida - Mexico,Plastic packagings,Plastic products
"IMPCO, S.R.L. DE C.V.",tel:+52 81 8144 5400,Guadalupe - Mexico,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air heaters
"7 ELEVEN DE MEXICO, S.A. DE C.V.",tel:+52 81 8158 0711,San nicolás de los garza - Mexico,Food,"Meat, poultry and game, canned and otherwise packaged"
"EDITORIAL TRILLAS, S.A. DE C.V.",tel:+52 55 5688 4233,México - Mexico,Publishing houses,Printing and publishing
"CUPRUM, S.A. DE C.V.",tel:+52 81 8305 8500,San nicolás de los garza - Mexico,"Semi-manufactured products, aluminium and its alloys",Basic metal products
"INDUSTRIAS UNIDAS MARITEX, S.A. DE C.V., GRUPO MIGUEL",tel:+52 248 482 0195,San salvador el verde - Mexico,"Textile fibres, man-made",Textiles
"FETASA TIJUANA, S.A. DE C.V.",tel:+52 664 700 5230,Tijuana - Mexico,"Timber, wooden products, machinery and equipment for the woodworking industry",Wooden products NES
"EUREKA, S.A. DE C.V.",tel:+52 55 5283 1740,México - Mexico,"Flooring, roofing and wall coverings, plastic, for the building industry",Plastic products
"MAYEKAWA DE MEXICO, S.A. DE C.V.",tel:+52 55 5062 0870,México - Mexico,Compressors,Engines and mechanical parts
"ALMACENES DISTRIBUIDORES DE LA FRONTERA, S.A. DE C.V.",tel:+52 656 613 6308,Ciudad juárez - Mexico,Food,"Meat, poultry and game, canned and otherwise packaged"
"CONE DENIM YECAPIXTLA, S.A. DE C.V.",tel:+52 731 357 3300,Yecapixtla - Mexico,Textiles,"Fabrics, cotton, for clothing and household linen"
"POLIMEROS MEXICANOS, S.A. DE C.V., POLIMERS",tel:+52 55 5858 0555,Nezahualcoyotl - Mexico,"Bars and rods, plastic",Plastic products
"PLASTICOS PANAMERICANOS, S.A. DE C.V.",tel:+52 55 5899 8090,Tultitlán - Mexico,Glass fibre reinforced plastic (GRP) products,Plastic products
"GRUPO MODELO, S.A.B. DE C.V. (Oficinas Corporativas)",tel:+52 55 2266 0000,México - Mexico,Beers,Beverages
"ARROZ SOS DE MEXICO, S.A. DE C.V.",tel:+52 271 712 6022,Córdoba - Mexico,Agriculture and forestry,Cereals and pseudo cereals
"CIFUNSA DEL BAJIO, S.A. DE C.V.",tel:+52 462 606 9400,Irapuato - Mexico,Petrol engines,Engines and mechanical parts
"PROTEXA, S.A. DE C.V., GRUPO PROTEXA",tel:+52 81 8399 2742,Santa catarina - Mexico,"Pipes, tubes, ducts and hoses, plastic",Plastic products
"EUROTRANCIATURA MEXICO, S.A. DE C.V.",tel:+52 442 153 5300,Santa rosa juaregui - Mexico,"Sections, steel and rolled steel",Basic metal products
"DEACERO, S.A. DE C.V.",tel:+52 442 217 0602,Querétaro - Mexico,Ferrous metal wires,"Hardware, ironmongery, cutlery and tools"
"GRUPO EMBOTELLADOR CIMSA, S.A. DE C.V. (PLANTA -)",tel:+52 777 329 5300,Cuernavaca - Mexico,"Lemonade, carbonated and soft drinks, non-alcoholic",Beverages
"B & B APPAREL, S.A. DE C.V.",tel:+52 442 221 5033,El marqués - Mexico,Textiles,Machining services for clothing and textile goods
"McCORD PAYEN DE MEXICO, S. DE R.L DE C.V (PLANTA - TEPOTZOTLÁN)",tel:+52 55 5002 7500,Tepotzotlán - Mexico,Means of transport,Motor vehicle transmission parts and spare parts
"ALIMENTOS FINOS DE OCCIDENTE, S.A. DE C.V., SIGMA ALIMENTOS DE OCCIDENTE",tel:+52 33 3818 6900,Guadalajara - Mexico,Food,"Abattoir products, non-processed"
"CLAVOS NACIONALES, S.A. DE C.V.",tel:+52 442 240 5184,Querétaro - Mexico,Ferrous metal wires,"Hardware, ironmongery, cutlery and tools"
"MANE MEXICO, S.A. DE C.V.",tel:+52 55 5532 7531,México - Mexico,"Basic chemical products for cosmetics, perfumes, detergents and soaps","Emulsifying agents for perfumery, cosmetics and soaps"
"DOWELL SCHLUMBERGER DE MEXICO, S.A. DE C.V.",tel:+52 55 5263 3000,México - Mexico,Telecommunication measuring and testing equipment,Measuring and testing equipment
"DISEÑO Y TECNICA TEXTIL, S.A. DE C.V., DYTEX",tel:+52 246 464 0086,Santa ana chiautempan - Mexico,Textiles,Covers
"TRADECO INFRAESTRUCTURA, S.A. DE C.V.",tel:+52 55 5661 8989,México - Mexico,"Bridges and footbridges, metal",Metal constructions for the building industry
"PONDEROSA INDUSTRIAL DE MEXICO, S.A. DE C.V.",tel:+52 618 814 6603,Durango - Mexico,"Timber/logs, by use","Timber, wooden products, machinery and equipment for the woodworking industry"
"INDUSTRIAS JOBAR, S. DE R.L. DE C.V. (CORPORATIVO)",tel:+52 449 915 3309,Aguascalientes - Mexico,Clothes for women,Clothing and footwear
"ABASTECEDORA DE FIERRO Y ACERO, S.A. DE C.V., COFIASA",tel:+52 614 442 1040,Chihuahua - Mexico,Gravel and stone,Quarried stone
"THYSSENKRUPP PRESTA DE MEXICO, S.A. DE C.V.",tel:+52 222 223 7000,San miguel xoxtla - Mexico,Means of transport,Trucks/lorries spare parts
"PORCELANITE, S.A. DE C.V.",tel:+52 55 5246 9912,México - Mexico,"Sanitary ware and bathroom accessories, ceramic","Glass, cement and ceramics"
"BACHOCO, S.A. DE C.V. (OFICINAS CORPORATIVAS)",tel:+52 461 618 3500,Celaya - Mexico,Livestock and fish,"Sheep, goats and pigs"
"DART, S.A. DE C.V., TUPPERWARE",tel:+52 722 279 1300,Lerma - Mexico,"Household articles, plastic",Plastic products
"GRUPO LOZANO MIGOYA, S.A. DE C.V.",tel:+52 55 5141 0460,México - Mexico,Food,Milks
"INDUSTRIAS HABER'S, S.A. DE C.V.",tel:+52 55 2122 0000,Naucalpan de juárez - Mexico,Clothes by fabric,Clothing and footwear
"COPAMEX INDUSTRIAS, S.A. DE C.V., COMPAÑIA PAPELERA MALDONADO, (Planta -)",tel:+52 81 5000 7000,San nicolás de los garza - Mexico,Paper and board,"Paper and board, graphic design use, for printing"
"PROFINA, S.A. DE C.V.",tel:+52 595 952 1100,Texcoco - Mexico,Chemical products,Candles
"DERIVADOS DE LECHE LA ESMERALDA, S.A. DE C.V.",tel:+52 415 152 8686,San miguel de allende - Mexico,Food,Milks
"RYC ALIMENTOS, S.A. DE C.V.",tel:+52 222 237 3736,Puebla - Mexico,Food,"Abattoir products, non-processed"
