company name ,contact number,Area,product category 1,product category 2,product category 3,company description
"Giao Chau Co., Ltd.",tel:+84 4 3734 2595,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Haifa Co., Ltd.",tel:+84 4 3722 2763,Hanoi - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Heaven Co.,tel:+84 8 3514 0338,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Phuc Thai Trading And Service Co., Ltd.",tel:+84 511 384 2328,Da nang city - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Inter Art Saigon Co. Ltd,tel:+84 650 374 7245,Binh duong - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Sam Thuan Unit,tel:+84 8 3762 4081,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tu Liem Handicraft Service & Production Centre,tel:+84 4 3834 4728,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Thuan Phat Co. Ltd.,tel:+84 4 3847 1939,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
ATA Co. Ltd,tel:+84 4 3759 2008,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Essential Oil & Natural Products Co. Ltd,tel:+84 8 3812 7301,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
T & G Co. Ltd,tel:+84 4 3717 0873,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Oils-Essential Processing & Manufacturing Co. Ltd,tel:+84 4 3864 2846,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Lacquerworld Co. Ltd,tel:+84 4 3771 2195,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Hieu Dung Co., Ltd.",tel:+84 8 3559 1131,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Hanoi Import Export & Manufacturing Co.,tel:+84 4 3783 1105,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tropical Architectural Construct Joint Stock Co.,tel:+84 4 3565 8414,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Minh Loi Unit,tel:+84 8 3875 2203,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
World Trade Co. Ltd,tel:+84 4 3733 6226,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Xuan Mai Unit,tel:+84 8 3845 2230,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hoan My Unit,tel:+84 8 3843 0871,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hoanh Phat Trading Co. Ltd,tel:+84 8 3978 4119,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Hafele Singapote Co., Ltd.",tel:+84 4 3516 0420,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Nodas Co. Ltd,tel:+84 4 3572 7538,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hanoi Youth Investment Exporter & Importer -Manufacturing Co.,tel:+84 4 3835 3163,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Artex Tien Dong Co. Ltd,tel:+84 34 386 7809,Ha tay province - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"An Chi Trading Production Co., Ltd.",tel:+84 8 3740 0100,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Huu Duc Co. Ltd,tel:+84 56 388 2104,Binh dinh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Kim Son Handicraft Co. Ltd,tel:+84 8 3825 3538,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Nan Liau Wooden Co. Ltd,tel:+84 650 379 0268,Binh duong - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Decofer Vietnam in Ho Chi Minh City,tel:+84 8 3797 7014,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
DTC Investment Architecture & Construction Corp. JSC.,tel:+84 61 381 6276,Dong nai province - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Deco Construction Architecture Co., Ltd.",tel:+84 8 3771 9374,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Quang Tien Co., Ltd.",tel:+84 650 371 7801,Binh duong province - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Giai Thanh Unit,tel:+84 8 3962 8230,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"NTC Interior Architecture Co., Ltd.",tel:+84 4 3852 8687,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Dong Phong Co., Ltd.",tel:+84 8 3755 4295,Ho chi minh city - Viet Nam,Ecology and environmental consultants NES,"Environmental services, renewable energies",Environmental impact assessment consultants...,Environment Technology & Consulting
"Hy Dan Co., Ltd.",tel:+84 8 3957 3453,Ho chi minh city - Viet Nam,Ecology and environmental consultants NES,"Environmental services, renewable energies",Environmental impact assessment consultants...,Environment Technology & Consulting
Orientway Corp. Ltd,tel:+84 8 3930 0967,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
HCH Trading Joint Stock Co.,tel:+84 61 393 0183,Dong nai province - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Vietnam Central Union Of Production & Trading Of Cooperatives,tel:+84 4 3824 5566,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"South Region Consultant Design Construction Co,.Ltd.",tel:+84 8 3517 0245,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
San Nam House Interior Architecture Joint Stock Co.,tel:+84 4 6251 7064,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Huy Hoang International Trading & Investment Joint Stock Co,tel:+84 4 3756 3813,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
JIA Interior & Trading Joint Stock Co.,tel:+84 4 3942 2422,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Ea Hnin Coffee Co.,Ltd.",tel:+84 500 363 1018,Dac lac - Viet Nam,Ecology and environmental consultants NES,"Environmental services, renewable energies",Environmental impact assessment consultants...,Environment Technology & Consulting
"Loungem Viet Nam Co., Ltd.",tel:+84 510 391 1700,Quang nam province - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Liti Shop,tel:+84 8 3824 7114,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tien Giang Books & Cultural Products Center,tel:+84 73 387 2229,Tien giang province - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
"Viet Han Trading Education Book Co., Ltd.",tel:+84 8 5413 5449,Ho chi minh city - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
Nghe An Book Distribution Co.,tel:+84 38 384 2928,Nghe an province - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
Viet Thuong Joint Stock Co.,tel:+84 511 381 7863,Da nang city - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
Van Ba Book Exhibition Library,tel:+84 8 3940 0258,Ho chi minh city - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
"Viet Tien Book Distributors Co., Ltd.",tel:+84 4 3564 0197,Hanoi - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
"Thong Thuan Ben Tre Co., Ltd",tel:+84 75 381 0048,Ben tre province - Viet Nam,Livestock and fish,Aquaculture/aquafarming,"Fish farming, saltwater...",Aquaculture
Buon Me Thuot Coffee Co.,tel:+84 8 3771 6431,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Bach Hung Thinh Co. Ltd,tel:+84 511 361 1793,Da nang city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Le Minh Hoang Pte Ent,tel:+84 62 386 5175,Binh thuan province - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Minh Chi Transport Service Construction Trading Producing Co. Ltd,tel:+84 8 3810 8672,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Thien Thanh Pte Ent,tel:+84 710 384 5132,Can tho city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Tran Anh Loan Pte Ent,tel:+84 710 368 9331,Can tho city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Van Phuoc Thanh Trading Pte Ent,tel:+84 8 3962 2539,Ho chi minh city - Viet Nam,Livestock and fish,Aquaculture/aquafarming,"Fish farming, saltwater...",Aquaculture
"Tan Hoang Minh Co., Ltd.",tel:+84 66 381 2191,Tay ninh province - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Bich Lien Shop,tel:+84 8 3823 1552,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Quang Minh Cooperative,tel:+84 8 3722 3730,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Nhu Y Gift Trading Service Co. Ltd,tel:+84 8 3929 2043,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Red Stars Service & Production Co.,Ltd.",tel:+84 4 3565 8648,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Doanh Chinh Investment & Development Service Co., Ltd.",tel:+84 4 2210 7178,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Huan Khang Pte Ent,tel:+84 8 3844 7306,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Annam Gourmet Shop,tel:+84 8 3822 9332,Ho chi minh city - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Viet Crystal Manufacture Service Trading Co., Ltd",tel:+84 8 3895 0511,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Pusa Joint Stock Co.,tel:+84 4 3766 2512,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Vipgifts Joint Stock Co.,tel:+84 4 3758 3586,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Tropical Co., Ltd.",tel:+84 4 3675 4768,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Sababa International Co., Ltd.",tel:+84 4 3650 0793,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Vinh Dat Pte Ent,tel:+84 8 3589 7512,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Sakyla Pte Ent,tel:+84 8 3711 1589,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"South East Pacific Co., Ltd",tel:+84 8 3841 2187,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Lien Ngan Son Advertising Service Trading Production Co., Ltd",tel:+84 8 6296 1051,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Green Field Manufacturing Trading Co., Ltd",tel:+84 8 3989 5901,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Trieu Thanh Unit,tel:+84 8 3955 6955,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
High Points City Co. Ltd,tel:+84 8 3516 1775,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Doan Potters Ltd,tel:+84 8 3844 5479,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tai Dat Unit,tel:+84 8 3820 1785,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Viet Style Co., Ltd",tel:+84 8 2216 8680,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
DS Arttech Co. Ltd,tel:+84 8 3948 5269,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Black White Production Trading Service Co., Ltd",tel:+84 8 3923 0572,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
F & L Shop,tel:+84 8 3818 1953,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Ban Mai Joint Stock Co.,tel:+84 8 3526 5152,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Kim Hoan Boi Co. Ltd,tel:+84 8 3820 2040,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Memory&Love Shop,tel:+84 8 3929 0187,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Bao Dan Production Trading Services Co., Ltd.",tel:+84 8 3962 2848,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tay Son Trading Producing Co. Ltd,tel:+84 8 3932 5708,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tu Duy Unit,tel:+84 8 3710 8034,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Man Dat Co., Ltd.",tel:+84 8 3925 5408,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Nordic Country Home Ltd,tel:+84 8 3740 4943,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Alpha Pottery Vietnam,tel:+84 8 3553 1711,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Saigon Sundries Export-Import Joint Stock Co.,tel:+84 8 3932 5687,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Kin Sing Co., Ltd.",tel:+84 650 367 2797,Binh duong province - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Handicraft Manufacturing Import Export Co.,tel:+84 4 3825 6154,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Saigon Kim Van Trade Co., Ltd",tel:+84 8 3914 4926,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
The Thang Long Art Article Import Export Joint Stock Co,tel:+84 4 3823 3077,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Redstar Rubber Stamps Pte Ltd,tel:+84 4 3936 5428,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Sodexo Pass International,tel:+84 8 2220 1000,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Craft Link Center,tel:+84 4 3733 6101,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Apparel Sourcing Co., Ltd.",tel:+84 8 3970 3867,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"An Tuong Co., Ltd",tel:+84 8 3842 9779,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Kien Lam Handicraft Co., Ltd",tel:+84 8 3811 2425,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Old-Modern Handicrafts Joint Stock Co.,tel:+84 8 6280 4496,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Ha Anh Pre-Inked Stamp Maker Co., Ltd",tel:+84 4 3826 9308,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Le Phu Co., Ltd.",tel:+84 8 3860 5073,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Handicraft & Arts Import Export Corp.,tel:+84 8 3930 4301,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Bao Liem Trading Services Co., Ltd",tel:+84 8 3775 1301,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Thuan Hoa Trading Co. Ltd,tel:+84 8 3857 1790,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Tan Phuoc Unit,tel:+84 8 3925 2907,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Handicraft & Art Articles Export Import Joint - Stock Co.,tel:+84 4 3825 2760,Hanoi - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Pan West East Trading Co., Ltd.",tel:+84 8 3744 2885,Ho chi minh city - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Ha Anh Trading Co., Ltd",tel:+84 8 3925 2239,Ho chi minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"NTD Viet Nhat Co., Ltd.",tel:+84 8 3811 5712,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Development Design Detailing Services Ltd.,tel:+84 8 3866 2029,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Duc Hung Cuong Services Trading Corp.,tel:+84 8 3895 5577,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Phat Hung Co., Ltd.",tel:+84 8 3877 5015,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Ngoc Phat Pte.Ent,tel:+84 8 3917 2901,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Living Space Co., Ltd.",tel:+84 8 2241 7252,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"A Dong Architecture Co., Ltd.",tel:+84 64 371 6810,Ba ria-vung tau - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Tay Nguyen Coffee Investment Import Export Joint Stock Co.,tel:+84 8 3925 0209,Ho chi minh city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Vinh Tuong Pte Ent,tel:+84 67 387 1331,Dong thap province - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Phuong Toan Trading & Service Co., Ltd.",tel:+84 511 364 6112,Da nang city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Gia Thinh Pte Ent,tel:+84 511 382 5932,Da nang city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Quang Minh Co., Ltd.",tel:+84 66 373 9181,Tay ninh province - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Hoang Khanh Pte Ent,tel:+84 710 386 5414,Can tho city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Van Hoa Pte Ent,tel:+84 511 382 2497,Da nang city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Thinh Phat Pte Ent,tel:+84 710 368 9447,Can tho city - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
"Cuong Phat Co., Ltd.",tel:+84 8 3834 8363,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Educational Book Joint Stock Co. In Ho Chi Minh City,tel:+84 8 3832 3557,Ho chi minh city - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
Bach Khoa Book Centre,tel:+84 8 3816 1256,Ho chi minh city - Viet Nam,Department and chain stores,"General traders, department and retail stores",Chain stores...,Bookstore
"Hanoi Housewares and Accessories Co., Ltd (Nagu Shop)",tel:+84 8 3823 4001,Ho chi minh city - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Toan Thanh Decoration Service Trading Co., Ltd.",tel:+84 8 3727 0496,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Design & Construction Co., Ltd.",tel:+84 4 3846 4079,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Luu Phan Co., Ltd.",tel:+84 8 3855 5274,Ho chi minh city - Viet Nam,Livestock and fish,Aquaculture/aquafarming,"Fish farming, saltwater...",Aquaculture
"TCT Development Investment Co., Ltd.",tel:+84 4 3927 2777,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Duc Long Joint Stock Co.,tel:+84 4 3942 7990,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Tan Hai Design & Construction Consultant Co., Ltd.",tel:+84 8 3761 0564,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Thai Sinh Trading Service Co., Ltd.",tel:+84 8 3847 6234,Ho chi minh city - Viet Nam,Livestock and fish,Aquaculture/aquafarming,"Fish farming, saltwater...",Aquaculture
"Xuan Hoa One Member Co., Ltd.",tel:+84 4 3823 5080,Hanoi - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Bao Xuan Trading Service Co., Ltd.",tel:+84 8 3995 5358,Ho chi minh city - Viet Nam,"Air transport services, passenger and freight",Transportation and logistics services,Airline companies,Airlines
"Tan Thanh Long Co., Ltd.",tel:+84 8 3834 6691,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Trong Tin Co., Ltd.",tel:+84 8 6252 4858,Ho chi minh city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Fonterra Brands (Viet Nam) Co., Ltd.",tel:+84 8 3910 5659,Ho chi minh city - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Phuong Thy Trading & Service Co., Ltd.",tel:+84 511 382 2470,Da nang city - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
