company name,contact number,area,product category 1,product category 2,product category 3,company description
"Siwa Import , Export & Commercial Agencies","+20 2 26210286, 02-26210975",مصر الجديده.القاهره,Chemical products,Chemicals for the electrical and electronics industries,Wholesale trade...,Wholesale trade...Importer of chemical materials used in building industry Legal form: Ltd. Partnership Legal Sector:Private
Borai Steel,"+20 2 24607006, 02-24607032, 011-11333593",شبرا.القاهره,Basic metal products,"Refined, special and tool steels",Stainless steel...,Stainless steel...Distributor & importer of stainless steel [sheets & pipes]. Legal form: Partnership Legal Sector:Private
Fourseas Int'l for Import & Trading-Heba Tarek El-Azizi & Co.,"+20 2 27272885, 012-87751535","القلعه, القاهره",Wholesale trade,"General traders, department and retail stores","Food, beverages and tobacco (wholesale)","Food, beverages and tobacco (wholesale)Importing foodstuff such as [fish, fruits....etc]. CAPITAL PAID:- 100000 EGP CAPITAL AUTHORIZED:- 100000 EGP TOTAL ASSETS:- 1703663 EGP COMM.REGISTRY NO.:- 12267 Cairo TAX CARD NO.:- 271-860-545 Legal form: Partnership Legal Sector:Private"
Smart Touch-El-Farrag for Modern Products,"+20 2 22160881, 02-22160884, 02-22160885, 02-27415112, 02-27213092, 02-26205368",مصر الجديده.القاهره,Sports and leisure equipment,Festival and party articles and decorations,Carnival goods and novelties...,Carnival goods and novelties...Importer of decoration requisites. CAPITAL PAID:- 21000 EGP TOTAL ASSETS:- 4119060 EGP COMM.REGISTRY NO.:- 30699 IND.REGISTRY NO.:- 437-606-422 TAX CARD NO.:- 437-606-422 Legal form: Individual Ent. Legal Sector:Private
Apparel Int'l Ltd. for Promotion & Marketing,"+20 2 22731093, 02-22731094, 02-22731095, 02-22731096, 016-8803200",مدينه نصر.القاهره,Wholesale trade,"General traders, department and retail stores","Clothing,  footwear, fur, leather goods and fashion accessories (wholesale)","Clothing,  footwear, fur, leather goods and fashion accessories (wholesale)"
Meyn Egypt,"+20 2 22748770, 02-22703323",مدينه نصر.القاهره,"Food, drink, tobacco and catering industry machinery and equipment",Abattoir plant and equipment,Wholesale trade...,Wholesale trade...Importer of poultry abattoirs equipment. Legal form: Joint Stock Legal Sector:Private
Alpha Omega,"+20 2 26335887, 012-27762342",مصر الجديده.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...Agent & importer of medical & lab equipment. CAPITAL PAID:- 100000 EGP COMM.REGISTRY NO.:- 52224 Minia TAX CARD NO.:- 346-799-279
Auto Vet Trading,+20 2 22719140,مدينه نصر.القاهره,Pharmaceutical veterinary preparations,"Health, medical and pharmaceutical",Wholesale trade...,Wholesale trade...Importer of veterinary preparations. Legal form: Individual Ent. Legal Sector:Private
Espaket El-Arabia Import & Export,+20 2 22703274,مدينه نصر.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...Importer of beautification operations instruments.
Maged Louis Hanna & Partners,"+20 2 24144597, 02-24144598",مدينه نصر.القاهره,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Heaters, industrial, electric","Heaters, electric, industrial, ceramic...","Heaters, electric, industrial, ceramic...Agent & importer of pumps for water treatment station. CAPITAL PAID:- 750000 EGP COMM.REGISTRY NO.:- 275702 Cairo TAX CARD NO.:- 100-052-963 Legal form: Ltd. Partnership Legal Sector:Private"
Sherifoots,"+20 2 26631695, 02-26631696, 012-4120343",ط.قاهره/اسماعيليه.القاهره,"Leathers, furs and their products","Fancy goods, leather","Travel goods, handbags and similar articles, leather...","Travel goods, handbags and similar articles, leather...The company works in the field of leather products. CAPITAL PAID:- 200000 EGP COMM.REGISTRY NO.:- 22688 Cairo TAX CARD NO.:- 242-364-322 Legal form: Individual Ent. Legal Sector:Private"
Arabian Trading,"+20 2 22681109, 02-22674861",مصر الجديده.القاهره,Electric motors over 1 kW,Engines and mechanical parts,Electric motors up to 1 kW...,Electric motors up to 1 kW...General importer. Importer of electric motors. CAPITAL PAID:- 30000 EGP COMM.REGISTRY NO.:- 357101 Cairo TAX CARD NO.:- 201-080-664 Legal form: Ltd. Partnership Legal Sector:Private
Techno Commerce Importing & Exporting,"+20 2 24150062, 02-24150061",مصر الجديده.القاهره,Basic metal products,Lead alloys,Non-ferrous metals and alloys NES...,"Non-ferrous metals and alloys NES...Importer of metals [lead, zinc, tin]. Legal form: Individual Ent. Legal Sector:Private"
El-Geneidy Trade,+20 2 26392954,مصر الجديده.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)..."
Zahran Medical,"+20 2 23932575, 02-23956179, 011-2329066",وسط البلد.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,"Surgical equipment and instruments...Importer of medical & laboratory equipment[sterilization equipment, thermometer & microscope] Legal form: Individual Ent. Legal Sector:Private"
Good Tade,"+20 2 24149075, 02-24172745",مدينه نصر.القاهره,Wholesale trade,"General traders, department and retail stores",Construction and mining machinery and equipment (wholesale),Construction and mining machinery and equipment (wholesale)Importer & exporter of building equipment [mixers]. Legal form: Partnership Legal Sector:Private
Alpha Egypt for Industrial Services,"+20 2 26388521, 02-26379489",حدائق القبه.القاهره,Civil engineering and building machinery and equipment,Building machinery and equipment NES,Parts and accessories for building industry machinery and equipment...,Parts and accessories for building industry machinery and equipment...Importer spare parts of cement iron & steel manufacturing equipment. CAPITAL PAID:- 100000 EGP TOTAL ASSETS:- 1303331 EGP COMM.REGISTRY NO.:- 272000 Cairo TAX CARD NO.:- 100-045-529 Legal form: Partnership Legal Sector:Private
Medical Equipments,"+20 2 25764464, 012-2188805",شبرا.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,"Surgical equipment and instruments...Importer of medical requisites for hospitals [gauze, cotton, syringes complete preparation operation room medical equipments [operation bed, T.V sets] Commercial agent for artificial eyes. Legal form: Individual Ent. Legal Sector:Private"
"Diamond Food Machines for Commercial Agencies, D.F.M","+20 2 22564999 5 Lines, 012-2587374, 010-4190090",مصر الجديده.القاهره,Bakery machinery and equipment,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic...","Cooking equipment, domestic..."
Engineering Office Production Requisites,"+20 2 22674180, 02-22666314",مصر الجديده.القاهره,Wholesale trade,"General traders, department and retail stores",Handling equipment (wholesale),Handling equipment (wholesale)Importer of spare parts of heavy equipment. Legal form: Ltd. Partnership Legal Sector:Private
Global Ready-Made Garments,+20 2 22514790,المطريه.القاهره,Clothes by fabric,Clothing and footwear,"Clothes, cotton...","Clothes, cotton...Manufacturer & exporter of men, women & children ready-made garments. 7 Server:1 Application:N/A CAPITAL PAID:- 500000 EGP Legal form: Partnership Legal Sector:Private"
Ferdan Trading,"+20 2 25761108, 02-25773723, 02-25772336",بولاق ابوالعلا.القاهره,"Pipes, tubes, ducts and pipelines, ferrous metals","Metal pipework, valves and containers",Wholesale trade...,Wholesale trade...Importer of steam pipes [carbon steel]. Legal form: Individual Ent. Legal Sector:Private
United Brothers Equipment,"+20 2 27000367, 010-1243973",المعادى.القاهره,Wholesale trade,"General traders, department and retail stores",Construction and mining machinery and equipment (wholesale),Construction and mining machinery and equipment (wholesale)Importer & distributor of marble cutting machinery. Legal form: Individual Ent. Legal Sector:Private
Divoos Diving Tools,"+20 2 24556401, 02-24458211, 012-2135174",مصر الجديده.القاهره,Sports and leisure equipment,Swimming and diving equipment,Sailing and water sports equipment...,Sailing and water sports equipment...Importer of diving equipment[gaggle-panton]. Legal form: Individual Ent. Legal Sector:Private
4N For Import & Export,+20 2 24018030,مدينه نصر.القاهره,Importers and exporters,"General traders, department and retail stores","Importers-exporters, timber...","Importers-exporters, timber...General importer [goods, fabrics & food products]. Legal form: Individual Ent. Legal Sector:Private"
"Azoz Group Import, Export & Commercial Agencies","+20 2 27036480, 012-23963339, 011-13963339, 012-22775205",المعادى.القاهره,Agriculture and forestry,Cereals and pseudo cereals,Barley...,Barley...Commercial agent for vacuum cleaner & solar energy lamps. General importer & exporter. Distributor & export food staff [fruit dried]. Legal form: Partnership Legal Sector:Private
Sameir Tex,+20 2 44812442,ط.قاهره/اسماعيليه.القاهره,Textiles,Dyeing services for fabrics and textile goods,Dyeing services for ready-made textile goods...,"Dyeing services for ready-made textile goods...Manufacturer, exporter & dying of all kinds of ready-made garments for women, men & children]. Importing of production requisites. 4 Server:N/A Application:Accountant, warehouse Legal form: Joint Stock Legal Sector:Private"
Misr Group Engineering & Trade,"+20 2 24024896, 012-3998973, 012-3998972",مدينه نصر.القاهره,Chemical products,Chemicals for metal surface treatment,Chemicals for mining and oil extraction...,"Chemicals for mining and oil extraction...Importer & distributor of machinery for marble industry [winches] & chemicals for varnishing & abrasive for marble, granite & all metals. Legal form: Partnership Legal Sector:Private"
Agron for Agricultural Development Ltd.,"+20 2 26903321, 012-1111036",مصر الجديده.القاهره,Chemical products,"Fertilisers, organic carbon based","Fertilisers, bone and horn...","Fertilisers, bone and horn...Agent & importer, supplier of agriculture chemicals. CAPITAL PAID:- 50000 EGP TOTAL ASSETS:- 10284776 EGP COMM.REGISTRY NO.:- 16326 Legal form: Ltd. Liability Legal Sector:Private"
A.B Pharma Hygiene Specialists,"+20 2 25931459, 02-24044701, 02-24015491, 012-6516763, 012-3361826",الظاهر.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...
Bardeesy Medical for Medical Equipment,"+20 2 24143170, 02-24143171, 02-24143172, 02-24143173, 02-24143174, 02-24143175",مصر الجديده.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...Importer of medical equipment. Legal form: Partnership Legal Sector:Private
Int'l Trade & Textile Agencies,"+20 2 26701231, 02-26701230",مدينه نصر.القاهره,Textiles,"Fabrics, man-made fibres","Fabrics, man-made fibres, by use...","Fabrics, man-made fibres, by use...Importer of textile fabrics[licra & nilone fibers]. CAPITAL PAID:- 250000 EGP CAPITAL ISSUED:- 1000000 EGP CAPITAL AUTHORIZED:- 10000000 EGP COMM.REGISTRY NO.:- 3236 Cairo Legal form: Joint Stock Legal Sector:Private Law 159"
Zaki Automotive Group,"+20 2 21960015, 02-21960067",شبرا.القاهره,Means of transport,Motor vehicle body spare parts,"Body panels and pressings, motor vehicle...","Body panels and pressings, motor vehicle...Commercial agent for the biggest companies that manufacture vehicles spare parts[new & second hand]. CAPITAL PAID:- 300000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
"German Egyptian Trade, Import & Export",+20 2 24141634,مصر الجديده.القاهره,Food,Animal feed,Feeds and feed concentrates for chickens...,Feeds and feed concentrates for chickens...Agrifood supply chain trade. Distributor & importer of poultry feeding & cats & dogs food. CAPITAL PAID:- 200000 EGP Legal form: Ltd. Liability Legal Sector:Private
Shotec for Engineering & Foreign Trade,"+20 2 26904760, 02-26904761",مصر الجديده.القاهره,"Pipes, tubes, ducts and pipelines, ferrous metals","Metal pipework, valves and containers","Pipes and tubes, cast iron...","Pipes and tubes, cast iron..."
Misr Aspan Trading,+20 2 24316323,شبرا.القاهره,Means of transport,Motor vehicle body spare parts,"Bumpers, energy absorbing, commercial vehicle...","Bumpers, energy absorbing, commercial vehicle..."
Sasheco Import & Trade,"+20 2 26700282, 010-2130049",مدينه نصر.القاهره,Shaped glass products,"Glass, cement and ceramics","Bricks/blocks, glass...","Bricks/blocks, glass...Importer & distributor of floor tile properties, material: high pressure laminate[HPL] & electrical property. CAPITAL PAID:- 25000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Boudy Establishment Import & Export,"+20 2 26240411, 02-21806874, 010-6086023",مصر الجديده.القاهره,Chemical products,Chemicals and auxiliaries for rubber and plastics,Blowing agents for rubber and plastics...,Blowing agents for rubber and plastics...Importer of synthetic & natural rubber & industrial chemicals for rubber manufacturing. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 312629 TAX CARD NO.:- 288-674-766 Legal form: Partnership Legal Sector:Private
Moataz Sayed Ahmed Advertsing,+20 2 23926088,وسط البلد.القاهره,Means of transport,Light trailer and caravan components and accessories,Windows for caravans...,Windows for caravans...Advertising & publicity services. Importer of motor vehicle spare parts. Legal form: Individual Ent. Legal Sector:Private
Volga Trade,+20 2 24033138,مدينه نصر.القاهره,Furniture and linen,"Furniture, children's",Sports and leisure equipment...,Sports and leisure equipment...Importer of massage chair & bedroom children. Legal form: Joint Stock Legal Sector:Private
Pioneer Trading,"+20 2 27958602, 010-1126085",وسط البلد.القاهره,"Sections, steel and rolled steel",Basic metal products,"Iron and steel, drawn, compressed and turned. Tube rounds and squares...","Iron and steel, drawn, compressed and turned. Tube rounds and squares...Importer & distributor of special steel components, wear-resisting steel plates & heat-resisting steel plates. CAPITAL PAID:- 20000 EGP TAX CARD NO.:- 217-861-717 Legal form: Ltd. Partnership Legal Sector:Private"
Diamond Group-Suzy Morcos & Partners,"+20 2 24512125, 012-7954823",مصر الجديده.القاهره,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Refrigeration plant and equipment, industrial",Refrigeration machinery and equipment for the food industry...,Refrigeration machinery and equipment for the food industry...Importer of refrigerators used for offering ice cream & foods. Imports refrigerated containers & its spare parts. CAPITAL PAID:- 25000 EGP TOTAL ASSETS:- 157051 EGP Legal form: Partnership Legal Sector:Private
Madina Monawara Import & Export Mamdouh Emam El-Sayed,+20 2 24593743,شبرا.القاهره,Means of transport,Lorries/trucks,Wholesale trade...,Wholesale trade...Importer of commercial vehicles. Legal form: Individual Ent. Legal Sector:Private
Best Trade for Import & Export,"+20 2 44796730, 010-1752731, 017-1112455",ط.قاهره/اسماعيليه.القاهره,Natural and chemically derived additives for food and beverages,Chemical products,Natural and chemically derived flavourings for food and beverages...,Natural and chemically derived flavourings for food and beverages...Importer & trader of ingredients & food additives used in the food industries. CAPITAL PAID:- 20000 EGP TOTAL ASSETS:- 1644104 EGP COMM.REGISTRY NO.:- 7995 Cairo TAX CARD NO.:- 234-999-314 Legal form: Individual Ent. Legal Sector:Private
Kironofer Int'l-Akram Anis & Co.,"+20 2 24199563, 02-22626992",مصر الجديده.القاهره,"Health, medical and pharmaceutical",Parapharmaceutical preparations,Wholesale trade...,Wholesale trade...Importer of medical requisites for eyes. CAPITAL PAID:- 5000000 EGP COMM.REGISTRY NO.:- 379633 Cairo TAX CARD NO.:- 229-820-980 Legal form: Partnership Legal Sector:Private
Middle East for Automation Systems & Trading,"+20 2 23518218, 019-7770048",المعادى.القاهره,Information technology (IT) and Internet,"Software, industrial","Software, production planning/scheduling...","Software, production planning/scheduling..."
Al-Mass Group Co.,"+20 2 44770676, 012-22719048",ط.قاهره/اسماعيليه.القاهره,Agriculture and forestry,Seed fruits,"Grapes, seedless...","Grapes, seedless...Importer & exporter of fresh fruits. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 43460 Legal form: Partnership Legal Sector:Private"
El-Tayeb Industries Services,"+20 2 24536646, 02-24536643, 011-14444992","مصر الجديده,القاهره",Metal constructions for the building industry,"Scaffolding and ladders, metal","Metal pipework, valves and containers...","Metal pipework, valves and containers...Importer & maintenance of tools & factory requisites. General supplier. CAPITAL PAID:- 50000 EGP Legal form: Partnership Legal Sector:Private"
Massoud Steel-Dr.Tarek Fawzy Zaki Massoud & Co.,"+20 2 46650240, 02-46650241, 012-3401155",ط.قاهره/اسماعيليه.القاهره,"Printing services, specific surfaces",Printing and publishing,Printing services on metals,Printing services on metalsPrinting services on metals. CAPITAL PAID:- 12000000 EGP TOTAL ASSETS:- 32800391 EGP COMM.REGISTRY NO.:- 13087 Cairo TAX CARD NO.:- 431-532-303 Legal form: Ltd. Partnership Legal Sector:Private
OCTA Egypt,"+20 2 24549183, 02-24520045",مصر الجديده.القاهره,Agriculture and forestry,Herb and spice plants,Food...,Food...
"Int'l Book Center-Wafik Hafez & Partners, IBC","+20 2 24142580, 010-5296499",مصر الجديده.القاهره,Publishing houses,Printing and publishing,Publishing: Trade and professional publications...,Publishing: Trade and professional publications...Import & distributor of educational books. CAPITAL PAID:- 100000 EGP TOTAL ASSETS:- 12873843 EGP COMM.REGISTRY NO.:- 351293 TAX CARD NO.:- 723-374-384 Legal form: Partnership Legal Sector:Private
Eklego Design,"+20 2 27366353, 02-27357274",الزمالك.القاهره,"Furniture, domestic",Furniture and linen,"Furniture, domestic, wooden...","Furniture, domestic, wooden...Domestic furniture showroom. Interior decoration designers. CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 12038 Cairo TAX CARD NO.:- 208-348-468"
Kazak House,"+20 2 26218969, 010-1683910",ط.قاهره/اسماعيليه.القاهره,"Furniture, domestic",Furniture and linen,"Furniture, domestic, wooden...","Furniture, domestic, wooden...Manufacturer of wooden furniture. Importer of accessories & antiques."
Al-Zeen for Export & Import,"+20 2 24930555, 012-3273529",المطريه.القاهره,Sugar,Food,"Oils, edible...","Oils, edible...Agrifood supply chain trade specialized in exports & imports of food products [sugar & oils]."
Gremic Int'l Marketing,"+20 2 27006151, 012-2132705",المعادى.القاهره,Stone products,"Glass, cement and ceramics","Stone, scabbled and dressed...","Stone, scabbled and dressed...Sawing, cutting & polishing of marble & granite. CAPITAL PAID:- 62500 EGP CAPITAL ISSUED:- 250000 EGP CAPITAL AUTHORIZED:- 2500000 EGP COMM.REGISTRY NO.:- 12511 TAX CARD NO.:- 305-979-582 Legal form: Joint Stock Legal Sector:Private"
Arabic Int'l Engineering & Trade,+20 2 25763913,وسط البلد.القاهره,Fuses,Electrical equipment. Nuclear equipment,Electric relays...,Electric relays...Importer of electrical tools & supplies. CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 7671 Legal form: Ltd. Liability Legal Sector:Private Law 159
Cairo Contracting & General Supplies-Hatem Mohamed Shawky & Co.,"+20 2 26374300, 010-66670863",مصر الجديده.القاهره,Importers and exporters,"General traders, department and retail stores",,General Supplies. Importer of electromechanical equipment [pumps]. CAPITAL PAID:- 1000000 EGP COMM.REGISTRY NO.:- 20796 Cairo Legal form: Ltd. Partnership Legal Sector:Private
Modern Station Furniture Importing & Trading,"+20 2 22738488, 010-5802820",مدينه نصر.القاهره,"Furniture, domestic",Furniture and linen,"Furniture, domestic, wooden...","Furniture, domestic, wooden...Importer & distributor of domestic furniture [Living room, bed room, dining room & sitting room]. Legal form: Individual Ent. Legal Sector:Private"
Sky,"+20 2 24171621, 02-24186114",مصر الجديده.القاهره,"Tyres and inner tubes, by vehicle type",Rubber products,Tyres and inner tubes for lorries and commercial vehicles...,Tyres and inner tubes for lorries and commercial vehicles...Importer of motor vehicles tyres for heavy vehicles. Legal form: Joint Stock Legal Sector:Private
El-Safa Trading Import & Export,+20 2 44797202,ط.قاهره/اسماعيليه.القاهره,Textile spinning and twisting machinery,"Textile, clothing, leather and shoemaking machinery and equipment",Textile weaving machinery. Looms...,Textile weaving machinery. Looms...Importer & supplier of spinning machinery & their spare parts. Legal form: Individual Ent. Legal Sector:Private
Int'l for Markating & Chemicals,"+20 2 25218256, 02-25218257, 010-5169786",المعادى.القاهره,Wholesale trade,"General traders, department and retail stores",Chemicals and pharmaceuticals (wholesale),Chemicals and pharmaceuticals (wholesale)Supplier of paints & industrial paints materials. CAPITAL PAID:- 1000000 EGP COMM.REGISTRY NO.:- 51303 Cairo Legal form: Ltd. Partnership Legal Sector:Private
Abu El-Houl for Import & Export,"+20 2 25754776, 02-25762689, 02-25740416",وسط البلد.القاهره,Agricultural and forestry machinery and equipment,Agricultural tractors,Sowing and planting equipment...,Sowing and planting equipment...Importer & distribution of agriculture equipment & machinery spare parts. Legal form: Ltd. Partnership Legal Sector:Private
"Int'l Traders, I.T.C",+20 2 26245156,مصر الجديده.القاهره,Importers and exporters,"General traders, department and retail stores",,General Import & Export. COMM.REGISTRY NO.:- 791120 Legal form: Ltd. Liability Legal Sector:Private
Engineering Trade & Agencies,"+20 2 22597686, 02-24046741, 02-22568682",حدائق القبه.القاهره,"Timber, wooden products, machinery and equipment for the woodworking industry",Wood boring and mortising machines,"Wood joining, bonding and coating machines...","Wood joining, bonding and coating machines...Importer of woodworking machinery. Legal form: Individual Ent. Legal Sector:Private"
"Petroleum Development Services Ltd., PDS","+20 2 27350078, 012-22129554",الزمالك.القاهره,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Drilling fluid/mud engineering services, oilfield...","Drilling fluid/mud engineering services, oilfield..."
G.C. Jahova,"+20 2 25744994, 02-25768884",وسط البلد.القاهره,Means of transport,Motor vehicle body spare parts,"Bumpers, energy absorbing, commercial vehicle...","Bumpers, energy absorbing, commercial vehicle...Importer of motor vehicle spare parts. Legal form: Individual Ent. Legal Sector:Private"
Miracle for Medical Services,"+20 2 22684237, 02-22684239",مصر الجديده.القاهره,Hygiene and cleaning,Bath and shower products,Face care products...,Face care products...Importer of medical requisites [x rays labs requisites & cosmetics]. Legal form: Individual Ent. Legal Sector:Private
Hand Reash El-Fouly & Co,"+20 2 23939057, 02-23926505",وسط البلد.القاهره,"Flooring, paving and tiling contractors",Building industry,Industrial flooring and surfacing contractors...,Industrial flooring and surfacing contractors...Importer & installation of floorings [moquette & H D F]. Legal form: Partnership Legal Sector:Private
"Bright Star Import, Export & Services",+20 10 6088046,المعادى.القاهره,Digital players,Electronic equipment. Telecommunications equipment,Digital versatile disc (DVD) players...,"Digital versatile disc (DVD) players...Importer of call centers computer requisites [CDS, DVDS & headphones]. Legal form: Individual Ent. Legal Sector:Private"
"Tie House Import, Export & Commercial Agencies","+20 2 25280660, 02-25286172",المعادى.القاهره,Clothes for men,Clothing and footwear,"Shirt, short sleeved, for men...","Shirt, short sleeved, for men...Importer & exporter of ready-made classic & casual garments for men [shirt, necktie, suit, t-shirt, trousers]. Legal form: Individual Ent. Legal Sector:Private"
Cairo Spine,"+20 2 24018981, 02-24026040",مدينه نصر.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,"Surgical equipment and instruments...Importer of medical requisites & equipment [related to nose, ear & larynx]. CAPITAL PAID:- 25000 EGP Legal form: Partnership Legal Sector:Private"
Tradex Egypt,+20 2 26907378,مصر الجديده.القاهره,Hygiene and cleaning,"Brushes, domestic use","Brushes, rubber, domestic...","Brushes, rubber, domestic...Importer of domestic plastic articles for cleaning & glass products. Legal form: Ltd. Partnership Legal Sector:Private"
I.S.G Commercial Agencies,"+20 2 22679421, 02-22679420",مصر الجديده.القاهره,Chemical products,"Chemicals for papermaking, printing and photography",Textile spinning and twisting machinery...,"Textile spinning and twisting machinery...Importer of garment manufacturing machinery. Importer of printing materials [inks, mollyssin & zirconium]. Legal form: Partnership Legal Sector:Private"
Tawhid Group,"+20 2 29243082, 02-25755490",بولاق ابوالعلا.القاهره,"Metal pipework, valves and containers","Components and fittings, metal, for valves and cocks",Compressors by use...,"Compressors by use...Importer supplier & installation of electric winches [thermal insulator, conveyors, hoses, paneumatic compressors & grinding stones]. Legal form: Ltd. Partnership Legal Sector:Private"
Sultana Import & Export,"+20 2 25894506, 010-1735538",وسط البلد.القاهره,"Precious stoneworking, watchmaking and jewellery",Clocks,Watches...,Watches...Commercial agents & importer of watches & jewellery. CAPITAL PAID:- 25000 EGP Legal form: Ltd. Partnership Legal Sector:Private
Nira Import & Export,+20 2 22623882,مدينه نصر.القاهره,Chemical products,"Chemicals for paint, lacquer and varnish making",Wholesale trade...,Wholesale trade...Importer of raw material for paints. Legal form: Ltd. Partnership Legal Sector:Private
High Technology Systems Ltd.,"+20 2 27549612 Hotline 19906, 02-27549613, 02-27549607, 02-27549608, 02-27549609, 02-27549610, 02-27549606, 012-7667522",المعادى.القاهره,Mechanical assembly contractors,Industrial subcontractors,"Assembly services, electrical industry...","Assembly services, electrical industry..."
Abu Simbel Egypt,"+20 2 27871626, 012-7755253, 011-5888337",وسط البلد.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...Importer of medical equipment lamps. Legal form: Individual Ent. Legal Sector:Private
Brothers Import & Trade Wood,"+20 2 25786628, 02-25744070, 02-25744050",بولاق ابوالعلا.القاهره,Sawn wood,"Timber, wooden products, machinery and equipment for the woodworking industry","Sawn wood, by use...","Sawn wood, by use...Importer of Wooden panels to used in the furniture industry. COMM.REGISTRY NO.:- 281347 Cairo Legal form: Individual Ent. Legal Sector:Private"
Mena Vet for Investment,"+20 2 22679631, 010-1131633, 010-1114238",مصر الجديده.القاهره,Food,Animal feed,"Proteins, animal feed...","Proteins, animal feed...Importer of animal feed additives [vitamins]. CAPITAL PAID:- 30000 EGP COMM.REGISTRY NO.:- 373707 Legal form: Ltd. Partnership Legal Sector:Private"
New Perfect Import & Export,"+20 2 22907591, 010-1670455",مصر الجديده.القاهره,Furniture and linen,Office furniture,"Furniture, wooden, for offices...","Furniture, wooden, for offices...Importer & distributor of T.V & computer tables, desks & chairs of wood & metal. Legal form: Partnership Legal Sector:Private"
Pharos Trading,"+20 2 27363379, 010-2337965",الزمالك.القاهره,"Timber/logs, temperate zone","Timber, wooden products, machinery and equipment for the woodworking industry","Timber/logs, tropical zone...","Timber/logs, tropical zone...Importer & distributor of wood used in the furniture industry. COMM.REGISTRY NO.:- 18589 Legal form: Joint Stock Legal Sector:Private"
Abdou Nada,"+20 2 26820262, 02-24837243, 010-4090930",العباسيه.القاهره,"Tyres and inner tubes, by vehicle type",Rubber products,Tyres for motor cars and vans...,Tyres for motor cars and vans...Importer & distributor of all kinds of motor vehicle batteries. Distributor of tyres. Legal form: Individual Ent. Legal Sector:Private
Fady,"+20 2 23649489, 012-4760174",المنيره.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,"Surgical equipment and instruments...Importer & distributor of general medical requisites [surgical, ophthalmic, heart & kidney appliances]. Legal form: Individual Ent. Legal Sector:Private"
El-Meem Engineering & Contracting,"+20 2 24014016, 02-24022262",مدينه نصر.القاهره,Building contractors,Building industry,Electric power station building contractors...,Electric power station building contractors...Electricity contractors [construction of electricity networks]. CAPITAL AUTHORIZED:- 5000000 EGP TOTAL ASSETS:- 8000000 EGP COMM.REGISTRY NO.:- 3898 Legal form: Individual Ent. Legal Sector:Private
El-Wadi Supplies & Contracting,"+20 2 23904230, 02-23959303",عابدين.القاهره,Security equipment,Smoke and fire detectors and alarms,Electric motors over 1 kW...,"Electric motors over 1 kW...Importer & supplier of networks [computers, electricity, fire alarm & land works systems]. CAPITAL PAID:- 60000 EGP CAPITAL AUTHORIZED:- 60000 EGP COMM.REGISTRY NO.:- 7908 Cairo Legal form: Ltd. Liability Legal Sector:Private Law 159"
Air Power for Trading,"+20 2 26823909, 02-29222145, 012-27448515, 012-23796860, 011-14185031",العباسيه.القاهره,Compressors by use,Engines and mechanical parts,Compressors for pneumatic conveyors...,Compressors for pneumatic conveyors...
Al-Lord Trade & Supplies,"+20 2 25933636, 02-25933637, 02-25920736",وسط البلد.القاهره,Coated and laminated paper and board,Paper and board,"Paper, coated, for photocopiers...","Paper, coated, for photocopiers...Importer of stationery requisites[pens, rulers, paper & rubber]. Legal form: Partnership Legal Sector:Private"
Top Trade-Hassan Ahmed Hassan & Co.,"+20 2 24400342, 02-24410732, 02-26249741, 012-3114273",مصر الجديده.القاهره,Agricultural and forestry machinery and equipment,Poultry breeding and farming equipment,"Hatcheries, day old chick...","Hatcheries, day old chick...Agrifood supply chain trade. Commercial agent importer of poultry abattoir equipment & hatching equipment. General exporter for 3rd party. Legal form: Ltd. Partnership Legal Sector:Private"
Golden Shot,"+20 2 24848304, 02-24845276, 02-24827910, 02-24871137, 012-1229221, 011-1658880, 010-9089344, 010-8620000",حدائق القبه.القاهره,Digital players,Electronic equipment. Telecommunications equipment,Video compact disc (VCD) players...,Video compact disc (VCD) players...
