Product Code,Product Label,"UAE export to russia Value in 2022, USD thousands","nnual growth in value between 2018-2022, %, p.a","Russia Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported Uae to russia in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"russia import from world Value in 2022, USD thousand ","Annual growth in value between russia import from world 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported russia to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"uae to world export Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported Uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
440794,"Cherry ""Prunus spp."", sawn or chipped lengthwise, sliced or peeled, whether or not planed, . . .", , , ,11, , , ,24,16,-33,0,5,Tons,"3,200", , , ,0,Tons, ,
440795,"Ash ""Fraxinus spp."", sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded . . .", , , ,11, , , ,24,19,-47,0,2,No quantity,"9,500",29,4,0,0,No quantity, ,
440796,"Birch ""Betula spp."", sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded . . .", , , ,12, , , ,64,1,-41,0,0,No quantity, ,1,-28,0,11,No quantity,455,
440797,"Poplar and aspen ""Populus spp."", sawn or chipped lengthwise, sliced or peeled, whether or not . . .", , , ,11, , , ,64,1,-50,0,1,No quantity,"1,000",1,3,0,0,No quantity, ,
440799,"Wood, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, . . .", , , ,11, , , ,64,678,-10,0,0,No quantity, ,124,-46,0,0,No quantity, ,
440810,"Sheets for veneering, incl. those obtained by slicing laminated wood, for coniferous plywood . . .", , , ,11, , , ,14,614,-23,0,144,No quantity,"4,264",126,35,0,311,No quantity,"2,572",1
440839,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other . . .", , , ,8, , , ,29,"1,912",-18,0,221,No quantity,"8,652","1,912",79,0,687,No quantity,"4,295",
440890,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other . . .", , , ,10, , , ,29,"27,668",5,1,0,No quantity, ,"1,260",-18,0,0,No quantity, ,
440910,"Coniferous wood, incl. strips and friezes for parquet flooring, not assembled, continuously . . .", , , ,9, , , ,16,"1,945",-14,0,0,No quantity, ,63,-53,0,"2,009",No quantity,"1,012",-
440921,"Bamboo, incl. strips and friezes for parquet flooring, not assembled, continuously shaped ""tongued, . . .", , , ,8, , , ,8,760,-19,1,374,Tons,"2,032",5,-65,0,0,Tons, ,
440922,"Tropical wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped . . .", , , ,8, , , ,24,"1,297",-4,0,0,No quantity, ,177,25,0,0,No quantity, ,
440929,"Wood, incl. strips and friezes for parquet flooring, not assembled, continuously shaped ""tongued, . . .", , , ,8, , , ,24,"6,353",-6,0,734,No quantity,"8,655",205,-9,0,0,No quantity, ,
441011,"Particle board of wood, whether or not agglomerated with resins or other organic binding substances . . .", , , ,7, , , ,8,"18,445",4,0,"21,489",No quantity,858,118,9,0,0,No quantity, ,
441012,"Oriented strand board ""OSB"", of wood", , , ,8, , , ,4,420,-42,0,"1,428",No quantity,294,4,79,0,0,No quantity, ,
441019,"Waferboard and similar board, of wood, whether or not agglomerated with resins or other organic . . .", , , ,7, , , ,8,162,-51,0,411,No quantity,394,5,-61,0,172,No quantity,"2,727",
441090,"Board of bagasse, bamboo or cereal straw particles or other ligneous materials, whether or . . .", , , ,8, , , ,2,196,-28,0,110,No quantity,"1,782",57,35,0,0,No quantity, ,-
441112,"Medium density fibreboard ""MDF"" of wood, of a thickness <= 5 mm", , , ,5, , , ,18,"1,684",-14,0,"2,080",No quantity,810,103,-7,0,0,No quantity, ,
441113,"Medium density fibreboard ""MDF"" of wood, of a thickness > 5 mm but <= 9 mm", , , ,5, , , ,18,"9,396",-25,0,"12,672",No quantity,741,129,-14,0,0,No quantity, ,
441114,"Medium density fibreboard ""MDF"" of wood, of a thickness > 9 mm", , , ,5, , , ,18,"49,840",-7,1,0,No quantity, ,531,14,0,0,No quantity, ,
441192,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or . . .", , , ,5, , , ,18,"34,489",-5,1,"34,381",No quantity,"1,003",24,-3,0,0,No quantity, ,
441193,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or . . .", , , ,5, , , ,18,"1,990",78,1,"2,392",No quantity,832,6,89,0,0,No quantity, ,
441194,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or . . .", , , ,5, , , ,18,"2,595",-8,0,"3,776",No quantity,687,54,-9,0,"5,407",No quantity,821,
441210,"Plywood, veneered panel and similar laminated wood, of bamboo, not containing particle board . . .", , , ,11, , , ,21,125,13,0,0,No quantity, ,55,-24,0,0,No quantity, ,
441231,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of tropical . . .", , , ,10, , , ,6,561,-12,0,0,No quantity, ,249,13,0,0,No quantity, ,
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous . . .", , , ,12, , , ,6,"7,754",-12,0,"7,519",No quantity,"1,031","2,144",181,0,0,No quantity, ,
441234,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous . . .", , , ,12, , , ,6,"1,405",29,0,487,No quantity,"2,885",15,-1,0,0,No quantity, ,
441239,"Plywood consisting solely of sheets of wood <= 6 mm thick, with both outer plies of coniferous . . .", , , ,10, , , ,3,"1,432",-3,0,"1,490",No quantity,961,"1,260",13,0,0,No quantity, ,
441294,"Laminated wood as blockboard, laminboard or battenboard (excluding of bamboo, plywood consisting . . .", , , ,10, , , ,9,209,-33,0,61,No quantity,"3,426",2,-36,0,"3,055",No quantity,"1,265",
441299,"Laminated wood with both outer plies of coniferous wood (excl. of bamboo, with an outer ply . . .", , , ,11, , , ,21,"4,524",-13,0,"1,481",No quantity,"3,055","3,915",1,0,0,No quantity, ,
441300,"Metallised wood and other densified wood in blocks, plates, strips or profile shapes", , , ,12, , , ,2,"1,890",8,0,424,Tons,"4,458",6,-30,0,"2,211",Tons,"2,404",1
441400,"Wooden frames for paintings, photographs, mirrors or similar objects", , , ,8, , , ,0,"2,333",-16,0,949,Tons,"2,458",282,10,0,0,Tons, ,1
441510,"Cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood", , , ,9, , , ,32,828,-10,0,0,No quantity, ,417,30,0,0,No quantity, ,1
441520,"Pallets, box pallets and other load boards, of wood; pallet collars of wood (excl. containers . . .", , , ,5, , , ,12,"1,965",8,0,0,Tons, ,571,8,0,0,Tons, ,1
441600,"Casks, barrels, vats, tubs and other coopers' products parts thereof, of wood, incl. staves", , , ,10, , , ,13,"3,136",8,0,354,Tons,"8,859",1,-28,0,10,Tons,"11,400",
441700,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe . . .", , , ,13, , , ,0,768,3,0,315,Tons,"2,438",17,-17,0,"2,036",Tons,"4,942",2
441810,"Windows, French windows and their frames, of wood", , , ,13, , , ,6,"8,502",-16,0,"1,255",Tons,"6,775",119,45,0,0,Tons, ,
441820,"Doors and their frames and thresholds, of wood", , , ,11, , , ,3,"16,773",-13,0,0,No quantity, ,"4,574",-15,0,0,No quantity, ,12
441840,Wooden shuttering for concrete constructional work (excl. plywood boarding), , , ,10, , , ,3,566,-6,0,546,No quantity,"1,037",349,5,0,"2,639",No quantity,"2,192",3
441850,"Shingles and shakes, of wood", , , ,10, , , ,1,54,-4,0,2,Tons,"27,000",2,-7,0,9,Tons,"11,333",
441860,"Posts and beams, of wood", , , ,11, , , ,0,86,-38,0,42,No quantity,"2,048",238,-22,0,437,No quantity,968,
441874,"Flooring panels for mosaic floors, assembled, of wood other than bamboo", , , ,11, , , ,0,988,45,2,79,No quantity,"12,506",6,-31,0,1,No quantity,"9,000",
441875,"Flooring panels, multilayer, assembled, of wood other than bamboo (excl. for mosaic floors)", , , ,11, , , ,0,"19,485",-15,1,0,No quantity, ,"1,280",41,0,"1,199",No quantity,"6,024",
441879,"Flooring panels, assembled, of wood other than bamboo (excl. multilayer panels and panels for . . .", , , ,11, , , ,0,874,-20,0,0,No quantity, ,997,23,0,0,No quantity, ,
441891,"Builders' joinery and carpentry, of bamboo (excl. windows, French windows and their frames, . . .", , , ,11, , , ,22,19,-37,0,6,No quantity,"3,167",18,-35,0,14,No quantity,"2,429",
441899,"Builders' joinery and carpentry, of wood (excl. of bamboo, windows, French windows and their . . .", , , ,11, , , ,22,"26,605",-2,0,"2,265",No quantity,"11,746","2,355",-24,0,"1,498",No quantity,"4,026",
441911,"Bread boards, chopping boards and similar boards, of bamboo", , , ,8, , , ,2,"5,385",7,2,"2,232",No quantity,"2,413",10,-2,0,0,No quantity, ,
441912,Chopsticks of bamboo, , , ,8, , , ,2,"5,428",-2,2,"3,611",Tons,"1,503",10,-23,0,400,Tons,"2,933",
441919,"Tableware and kitchenware, of bamboo (excl. chopsticks, bread boards, chopping boards and similar . . .", , , ,8, , , ,2,"5,244",8,1,"1,160",Tons,"4,521",92,0,0,843,Tons,"5,199",
441990,"Tableware and kitchenware, of wood (excl. of bamboo or tropical wood, and interior fittings, . . .", , , ,8, , , ,2,"4,164",3,0,916,Tons,"4,546",226,17,0,"1,375",Tons,"6,551",
442010,"Statuettes and other ornaments, of wood (excluding wood marquetry and inlaid wood)", , , ,6, , , ,4,"3,269",0,0,0,No quantity, ,92,5,0,0,No quantity, ,1
442090,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles, . . .", , , ,6, , , ,6,"4,454",-4,0,0,No quantity, ,646,3,0,0,No quantity, ,11
442110,Clothes hangers of wood, , , ,7, , , ,1,"7,259",-1,2,"1,916",No quantity,"3,789",52,-2,0,0,No quantity, ,5
442191,"Articles of bamboo, n.e.s.", , , ,7, , , ,16,"9,447",14,1,"2,936",No quantity,"3,218",105,39,0,0,No quantity, ,
442199,"Articles of wood, n.e.s.", , , ,7, , , ,16,"19,011",-6,0,"4,371",No quantity,"4,349",698,-2,0,"6,195",No quantity,"4,238",
450190,"Cork waste; crushed, powdered or ground cork", , , ,4, , , ,0,117,-4,0,42,Tons,"2,786",6,59,0,14,Tons,"4,571",
450200,"Natural cork, debacked or roughly squared, or in square or rectangular blocks, plates, sheets . . .", , , ,4, , , ,0,67,154,0,20, ,"3,350", , , ,2, ,"54,500",
450310,"Corks and stoppers of all types, of natural cork, incl. round-edged blanks", , , ,4, , , ,24,759,-28,0,44,Tons,"17,250",3, ,0,0,Tons, ,
450390,"Articles of natural cork (excl. cork in square or rectangular blocks, plates, sheets or strips; . . .", , , ,4, , , ,12,43,-42,0,2,Tons,"21,500",91,64,0,33,Tons,"1,697",-
450410,"Tiles of any shape, blocks, plates, sheets and strip, solid cylinders, incl. discs, of agglomerated . . .", , , ,4, , , ,48,"19,109",-16,2,"3,217",Tons,"5,940",70,133,0,589,Tons,"2,696",
450490,"Agglomerated cork, with or without a binding substance, and articles of agglomerated cork (excl. . . .", , , ,4, , , ,24,"1,652",2,1,343,Tons,"4,816",9,-60,0,89,Tons,"4,382",-
460121,"Mats, matting and screens of bamboo plaiting materials, flat-woven or bound together in parallel", , , ,5, , , ,2,437,-25,1,149,Tons,"2,933",34,-14,0,13,Tons,"4,462",
460122,"Mats, matting and screens, of rattan plaiting materials, flat-woven or bound together in parallel", , , , , , , ,, , , , , , ,7,78,0,4, ,"13,250",
460129,"Mats, matting and screens, of vegetable plaiting materials, flat-woven or bound together in . . .", , , ,5, , , ,2,320,-29,0,158,Tons,"2,025",12,-39,0,109,Tons,"3,606",
460192,"Plaits and similar products, of bamboo plaiting materials, whether or not assembled into strips; . . .", , , ,8, , , ,3,279,-3,1,65,Tons,"4,292",4,5,0,159,Tons,"2,509",
460193,"Plaits and similar products, of rattan plaiting materials, whether or not assembled into strips; . . .", , , ,8, , , ,3,5,-2,0,0,Tons, ,95, ,1,2,Tons,"17,500",
460194,"Plaits and similar products of vegetable plaiting materials, whether or not assembled into . . .", , , ,8, , , ,3,132,-30,0,13,Tons,"10,154",26,53,0,5,Tons,"7,600",
460199,"Plaiting materials, plaits and similar products of non-vegetable plaiting materials, flat-woven . . .", , , ,7, , , ,3,587,7,0,236,Tons,"2,487",75,24,0,0,Tons, ,1
460211,"Basketwork, wickerwork and other articles, made directly to shape from bamboo plaiting materials . . .", , , ,5, , , ,1,"1,739",-9,1,319,Tons,"5,451",22,12,0,364,Tons,"4,684",
460212,"Basketwork, wickerwork and other articles, made directly to shape from rattan plaiting materials . . .", , , ,5, , , ,1,383,-6,0,55,Tons,"6,964",53,70,0,0,Tons, ,
460219,"Basketwork, wickerwork and other articles, made directly to shape from vegetable plaiting materials . . .", , , ,5, , , ,2,"11,504",5,1,908,Tons,"12,670",66,12,0,0,Tons, ,
460290,"Basketwork, wickerwork and other articles, made directly to shape from non-vegetable plaiting . . .", , , ,8, , , ,1,"2,117",13,0,270,Tons,"7,841",151,-10,0,405,Tons,"8,146",39
470100,"Mechanical wood pulp, not chemically treated", , , ,8, , , ,0,"1,059",-15,0,"1,528",Tons,693,21, ,0,24,Tons,792,
470200,"Chemical wood pulp, dissolving grades", , , ,5, , , ,0,"1,070",335,0,"1,548", ,691,86,187,0,50, ,"1,160",
470311,"Unbleached coniferous chemical wood pulp, soda or sulphate (excl. dissolving grades)", , , ,8, , , ,0,725, ,0,0,No quantity, ,142,-34,0,0,No quantity, ,
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excl. dissolving . . .", , , ,5, , , ,0,"91,827",0,0,0,No quantity, ,997, ,0,0,No quantity, ,118
470329,"Semi-bleached or bleached non-coniferous chemical wood pulp, soda or sulphate (excl. dissolving . . .", , , ,5, , , ,0,"14,944",47,0,"16,391",No quantity,912,215,-50,0,"580,584",No quantity,556,36
470419,"Unbleached non-coniferous chemical wood pulp, sulphite (excl. dissolving grades)", , , ,10, , , ,0,72, ,4,34, ,"2,118",4, ,2, , , ,
470421,"Semi-bleached or bleached coniferous chemical wood pulp, sulphite (excl. dissolving grades)", , , , , , , ,,8,-28,0,4,Tons,"2,000", , , , ,Tons, ,
470429,"Semi-bleached or bleached non-coniferous chemical wood pulp, sulphite (excl. dissolving grades)", , , ,10, , , ,0,858,-24,0,552,Tons,"1,554", , , ,214,Tons,"1,607",
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes, , , ,10, , , ,0,54,-17,0,99,Tons,545,17, ,0,989,Tons,658,
470610,Pulp of cotton linters, , , ,5, , , ,0,"9,421",11,2,"5,116",Tons,"1,841", , , ,2,Tons,"4,500",
470620,"Pulps of fibres derived from recovered ""waste and scrap"" paper or paperboard", , , ,5, , , ,0,610,-34,0,417,Tons,"1,463",1,-13,0,"10,058",Tons,678,
470630,Pulps of fibrous cellulosic bamboo material, , , ,5, , , ,0,476,542,2,268, ,"1,776", , , ,2, ,"2,500",
470691,"Mechanical pulp of fibrous cellulosic material (excl. that of bamboo, wood, cotton linters . . .", , , ,5, , , ,0,381,14,2,127, ,"3,000",4, ,0,114, ,"2,711",
470692,"Chemical pulp of fibrous cellulosic material (excl. that of bamboo, wood, cotton linters and . . .", , , ,5, , , ,0,753,-23,0,449,Tons,"1,677",105,-50,0,52,Tons,"2,154",
470710,"Recovered ""waste and scrap"" paper or paperboard of unbleached kraft paper, corrugated paper . . .", , , ,5, , , ,1,"1,552",66,0,"6,329",Tons,245,"37,907",13,1,"6,009",Tons,176,
470720,"Recovered ""waste and scrap"" paper or paperboard made mainly of bleached chemical pulp, not . . .", , , ,5, , , ,1,11, ,0,60,Tons,183,"24,182",86,2,"23,446",Tons,295,
470730,"Recovered ""waste and scrap"" paper or paperboard made mainly of mechanical pulp, e.g. newspapers, . . .", , , ,5, , , ,2,1,-57,0,1,Tons,"1,000","6,483",13,1,"3,174",Tons,141,
470790,"Recovered ""waste and scrap"" paper or paperboard, incl. unsorted waste and scrap (excl. waste . . .", , , ,5, , , ,2,"3,571",83,0,"16,045",Tons,223,"77,493",-5,3,"13,784",Tons,188,
480100,"Newsprint as specified in Note 4 to chapter 48, in rolls of a width > 28 cm or in square or . . .", , , ,5, , , ,0,25,-35,0,11,Tons,"2,273","20,207",-8,0,"4,194",Tons,843,
480210,Handmade paper and paperboard of any size or shape, , , ,10, , , ,0,28,-27,0,4,Tons,"7,000",172,-17,0,897,Tons,"1,718",-
480220,"Paper and paperboard of a kind used as a base for photosensitive, heat-sensitive or electrosensitive . . .", , , ,5, , , ,0,415,65,0,0,Tons, ,470,-32,1,0,Tons, ,1
480240,"Wallpaper base, uncoated", , , ,8, , , ,0,"2,711",10,2,"1,039",Tons,"2,609",14,-43,0,155,Tons,"4,181",3
480254,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,8, , , ,0,"8,575",1,3,"4,054",Tons,"2,115",5,-38,0,0,Tons, ,
480255,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,5, , , ,0,"36,523",5,1,"17,745",Tons,"2,058","72,783",150,1,0,Tons, ,
480256,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,5, , , ,0,"14,061",-25,0,"12,081",Tons,"1,164","108,221",221,2,0,Tons, ,
480257,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,5, , , ,0,"10,853",15,0,"4,875",Tons,"2,226","12,577",130,0,0,Tons, ,
480258,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,5, , , ,0,"4,882",-11,0,"2,060",Tons,"2,370",426,-6,0,"7,665",Tons,"1,491",
480261,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,5, , , ,0,"2,207",-18,0,"1,971",Tons,"1,120","1,412",132,0,"15,624",Tons,860,
480262,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,5, , , ,0,"8,880",139,3,"6,909",Tons,"1,285","1,647",217,1,"1,984",Tons,"1,687",
480269,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, . . .", , , ,5, , , ,0,507,-21,0,159,Tons,"3,189","2,350",43,1,"1,168",Tons,"1,260",
480300,"Toilet or facial tissue stock, towel or napkin stock and similar paper for household or sanitary . . .", , , ,8, , , ,60,"7,768",1,0,"2,967",Tons,"2,618","45,005",37,1,"24,720",Tons,"1,384",103
480411,"Unbleached kraftliner, uncoated, in rolls of a width > 36 cm", , , ,10, , , ,0,313,-28,0,0,Tons, ,129,-45,0,"41,176",Tons,736,-
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excl. unbleached and goods of heading 4802 . . .", , , ,10, , , ,0,100,134,0,0,No quantity, ,"13,642",0,1,"11,787",No quantity,873,
480421,"Unbleached sack kraft paper, uncoated, in rolls of a width > 36 cm (excl. goods of heading . . .", , , ,10, , , ,0,75,-49,0,50,Tons,"1,500",3,-65,0,"21,616",Tons,"1,177",-
480429,"Sack kraft paper, uncoated, in rolls of a width > 36 cm (excl. unbleached, and goods of heading . . .", , , ,10, , , ,0,"1,725",-37,0,0,Tons, ,124,12,0,"5,833",Tons,"1,396",2
480431,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or . . .", , , ,8, , , ,0,"3,330",-5,0,"1,964",Tons,"1,696",425,8,0,"19,118",Tons,824,1
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,0,"12,375",-19,1,"5,422",Tons,"2,282",946,17,0,"24,078",Tons,"1,031",7
480441,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or . . .", , , ,10, , , ,0,731,-22,0,901,Tons,811,11,-69,0,"1,683",Tons,645,
480442,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,0,130,-2,0,69,Tons,"1,884", , , ,"2,922",Tons,"1,049",
480449,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,0,63,-8,0,84,Tons,750,10,-52,0,"2,605",Tons,508,
480451,"Unbleached kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or . . .", , , ,10, , , ,0,"1,883",-9,0,751,Tons,"2,507",154, ,0,"30,784",Tons,557,10
480452,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,0,621,-18,0,267,Tons,"2,326", , , ,46,Tons,"35,478",
480459,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,0,100,46,0,42,Tons,"2,381",289,70,0,"7,033",Tons,572,-
480511,"Semi-chemical fluting paper, uncoated, in rolls of a width > 36 cm", , , ,10, , , ,1,4,-63,0,2,Tons,"2,000","5,842",-13,0,"2,223",Tons,656,1
480512,"Straw fluting paper, in rolls of a width > 36 cm, weighing >= 130 g/m²", , , , , , , ,, , , , , , ,287,47,2,"2,197", ,541,
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with . . .", , , ,10, , , ,2,"8,790",-12,0,"14,184",Tons,620,"12,378",-20,0,"77,133",Tons,491,90
480524,"Testliner ""recycled liner board"", uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,1,688,-49,0,815,Tons,844,"8,449",-21,0,"55,399",Tons,603,37
480525,"Testliner ""recycled liner board"", uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,1,92,-65,0,91,Tons,"1,011",914,-18,0,"3,744",Tons,615,2
480530,"Sulphite wrapping paper, uncoated, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,10, , , ,8,472,-7,0,153,Tons,"3,085",127,-20,0,251,Tons,992,2
480540,"Filter paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,10, , , ,4,"13,004",6,3,"4,480",Tons,"2,903",63,-20,0,984,Tons,"7,689",
480550,"Felt paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with . . .", , , ,10, , , ,1,1,-49,0,0,Tons, ,3,-22,0,312,Tons,609,-
480591,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,10, , , ,1,"36,282",-1,2,"19,057",No quantity,"1,904","1,927",139,0,"24,590",No quantity,"1,111",4
480592,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,10, , , ,1,911,-38,0,993,Tons,917,749,357,0,"30,354",Tons,835,2
480593,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets . . .", , , ,10, , , ,2,"7,889",5,0,"9,305",Tons,848,"1,829",38,0,"18,731",Tons,"1,357",5
480610,"Vegetable parchment, in rolls of a width > 36 cm or in square or rectangular sheets with one . . .", , , ,7, , , ,11,66,-2,0,25,Tons,"2,640",16,-7,0,106,Tons,"5,075",
480620,"Greaseproof papers, in rolls of a width > 36 cm or in square or rectangular sheets with one . . .", , , ,5, , , ,11,"6,524",-6,1,"2,635",Tons,"2,476",165,1,0,"2,387",Tons,"2,104",5
480630,"Tracing papers, in rolls of a width > 36 cm or in square or rectangular sheets with one side . . .", , , ,5, , , ,11,162,-15,0,30,Tons,"5,400",14,-13,0,137,Tons,"4,102",
480640,"Glassine and other glazed transparent or translucent papers, in rolls of a width > 36 cm or . . .", , , ,5, , , ,22,"1,615",3,0,700,Tons,"2,307",5,-14,0,"2,230",Tons,"1,895",
480700,"Composite paper and paperboard ""made by sticking flat layers of paper or paperboard together . . .", , , ,5, , , ,22,"4,255",-15,0,"1,575",Tons,"2,702",364,47,0,"6,897",Tons,976,13
480810,"Corrugated paper and paperboard ""with or without glued flat surface sheets"", whether or not . . .", , , ,10, , , ,12,"2,439",-4,0,"1,034",Tons,"2,359","1,437",-18,0,787,Tons,"1,282",1
480840,"Kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls of a width . . .", , , ,12, , , ,22,831,-8,0,196,Tons,"4,240",62,119,0,165,Tons,"4,721",1
480890,"Paper and paperboard, creped, crinkled, embossed or perforated, in rolls of a width > 36 cm . . .", , , ,10, , , ,11,"2,456",-10,1,733,Tons,"3,351",134,-1,0,"2,009",Tons,"2,378",-
480920,"Self-copy paper, whether or not printed, in rolls of a width > 36 cm or in square or rectangular . . .", , , ,7, , , ,0,"2,064",-21,0,"1,220",Tons,"1,692",220,-6,0,"5,889",Tons,"1,635",10
480990,"Transfer papers, incl. coated or impregnated paper for duplicator stencils or offset plates, . . .", , , ,10, , , ,0,"18,107",-5,5,"8,749",Tons,"2,070",388,-5,0,"3,972",Tons,"2,866",4
481013,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres . . .", , , ,5, , , ,4,"47,623",-3,1,"32,363",Tons,"1,472","1,662",36,0,"45,865",Tons,"1,093",165
481014,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres . . .", , , ,5, , , ,2,910,-9,1,347,Tons,"2,622",159,24,0,9,Tons,"14,667",42
481019,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres . . .", , , ,7, , , ,2,"24,550",-24,0,"22,333",Tons,"1,099","1,374",16,0,"91,678",Tons,882,63
481022,"Lightweight coated paper used for writing, printing or other graphic purposes, total weight . . .", , , ,8, , , ,2,"5,445",-33,0,"5,119",No quantity,"1,064",306,-15,0,0,No quantity, ,1
481029,"Paper and paperboard used for writing, printing or other graphic purposes, of which > 10% by . . .", , , ,5, , , ,2,"48,956",-15,1,0,Tons, ,846,27,0,"83,313",Tons,"1,023",45
481031,"Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically . . .", , , ,5, , , ,1,"2,158",45,1,"1,120",Tons,"1,927",2,-57,0,"1,839",Tons,965,
481032,"Kraft paper and paperboard, bleached uniformly throughout the mass and containing > 95% chemically . . .", , , ,5, , , ,2,"49,880",24,3,"51,310",Tons,972,12,-2,0,"67,754",Tons,"1,006",-
481039,"Kraft paper and paperboard, coated on one or both sides with kaolin or other inorganic substances, . . .", , , ,5, , , ,1,"7,775",29,1,"6,333",Tons,"1,228",49,-37,0,0,Tons, ,1
481092,"Multi-ply paper and paperboard, coated on one or both sides with kaolin or other inorganic . . .", , , ,5, , , ,4,"222,783",-5,2,"196,527",Tons,"1,134","1,441",64,0,0,Tons, ,103
481099,"Paper and paperboard, coated on one or both sides with kaolin ""China clay"" or other inorganic . . .", , , ,5, , , ,3,"3,618",-25,0,"1,691",Tons,"2,140","1,833",64,0,"29,596",Tons,"1,069",25
481110,"Tarred, bituminised or asphalted paper and paperboard, in rolls or in square or rectangular . . .", , , ,7, , , ,4,83,-4,0,10,Tons,"8,300",61,34,0,123,Tons,"2,659",
481141,"Self-adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in rolls . . .", , , ,5, , , ,32,"276,869",12,5,"110,115",Tons,"2,514","3,856",16,0,"26,110",Tons,"2,532",327
481149,"Gummed or adhesive paper and paperboard, surface-coloured, surface-decorated or printed, in . . .", , , ,7, , , ,16,"4,585",-15,1,"1,720",Tons,"2,666",719,21,0,453,Tons,"3,879",10
481151,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or . . .", , , ,8, , , ,44,"147,517",7,4,"64,992",Tons,"2,270","8,098",2,0,"18,551",Tons,"2,085",
481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or . . .", , , ,5, , , ,44,"123,506",-10,2,"55,265",Tons,"2,235","3,279",2,0,"24,076",Tons,"2,570",
